,value
1960-03-31,1045.0
1960-06-30,1008.6666666666666
1960-09-30,992.3333333333334
1960-12-31,967.3333333333334
1961-03-31,976.6666666666666
1961-06-30,1033.0
1961-09-30,1113.3333333333333
1961-12-31,1145.3333333333333
1962-03-31,1150.0
1962-06-30,1177.0
1962-09-30,1204.0
1962-12-31,1217.6666666666667
1963-03-31,1239.3333333333333
1963-06-30,1327.6666666666667
1963-09-30,1348.0
1963-12-31,1398.0
1964-03-31,1350.3333333333333
1964-06-30,1281.0
1964-09-30,1291.6666666666667
1964-12-31,1216.0
1965-03-31,1220.0
1965-06-30,1203.3333333333333
1965-09-30,1237.6666666666667
1965-12-31,1300.0
1966-03-31,1239.3333333333333
1966-06-30,1059.6666666666667
1966-09-30,861.0
1966-12-31,739.3333333333334
1967-03-31,952.3333333333334
1967-06-30,1093.3333333333333
1967-09-30,1228.3333333333333
1967-12-31,1297.3333333333333
1968-03-31,1297.0
1968-06-30,1294.3333333333333
1968-09-30,1388.3333333333333
1968-12-31,1415.3333333333333
1969-03-31,1464.0
1969-06-30,1372.6666666666667
1969-09-30,1286.0
1969-12-31,1187.3333333333333
1970-03-31,1104.0
1970-06-30,1291.3333333333333
1970-09-30,1381.3333333333333
1970-12-31,1611.0
1971-03-31,1663.3333333333333
1971-06-30,1873.3333333333333
1971-09-30,2023.0
1971-12-31,2079.3333333333335
1972-03-31,2170.6666666666665
1972-06-30,2129.6666666666665
1972-09-30,2283.6666666666665
1972-12-31,2335.6666666666665
1973-03-31,2186.3333333333335
1973-06-30,1963.3333333333333
1973-09-30,1777.3333333333333
1973-12-31,1367.0
1974-03-31,1377.0
1974-06-30,1159.3333333333333
1974-09-30,919.6666666666666
1974-12-31,825.3333333333334
1975-03-31,721.3333333333334
1975-06-30,908.6666666666666
1975-09-30,1026.0
1975-12-31,1099.0
1976-03-31,1183.0
1976-06-30,1171.3333333333333
1976-09-30,1345.0
1976-12-31,1489.0
1977-03-31,1562.0
1977-06-30,1693.3333333333333
1977-09-30,1713.6666666666667
1977-12-31,1761.0
1978-03-31,1758.3333333333333
1978-06-30,1899.0
1978-09-30,1742.6666666666667
1978-12-31,1798.0
1979-03-31,1557.6666666666667
1979-06-30,1640.3333333333333
1979-09-30,1587.6666666666667
1979-12-31,1337.0
1980-03-31,1155.6666666666667
1980-06-30,929.0
1980-09-30,1370.0
1980-12-31,1332.6666666666667
1981-03-31,1201.0
1981-06-30,1113.0
1981-09-30,890.3333333333334
1981-12-31,758.3333333333334
1982-03-31,831.0
1982-06-30,918.0
1982-09-30,1004.0
1982-12-31,1243.0
1983-03-31,1457.3333333333333
1983-06-30,1668.0
1983-09-30,1697.6666666666667
1983-12-31,1670.3333333333333
1984-03-31,1842.6666666666667
1984-06-30,1777.0
1984-09-30,1552.6666666666667
1984-12-31,1586.3333333333333
1985-03-31,1683.0
1985-06-30,1696.3333333333333
1985-09-30,1807.0
1985-12-31,1743.0
1986-03-31,1798.0
1986-06-30,1815.0
1986-09-30,1730.6666666666667
1986-12-31,1740.6666666666667
1987-03-31,1694.3333333333333
1987-06-30,1541.0
1987-09-30,1513.6666666666667
1987-12-31,1416.3333333333333
1988-03-31,1402.3333333333333
1988-06-30,1452.6666666666667
1988-09-30,1445.0
1988-12-31,1508.3333333333333
1989-03-31,1354.3333333333333
1989-06-30,1359.6666666666667
1989-09-30,1310.3333333333333
1989-12-31,1377.0
1990-03-31,1441.0
1990-06-30,1103.6666666666667
1990-09-30,1041.0
1990-12-31,909.0
1991-03-31,850.0
1991-06-30,957.0
1991-09-30,963.6666666666666
1991-12-31,1012.0
1992-03-31,1101.6666666666667
1992-06-30,1055.6666666666667
1992-09-30,1092.6666666666667
1992-12-31,1142.0
1993-03-31,1127.0
1993-06-30,1115.3333333333333
1993-09-30,1218.3333333333333
