,value
1952-12-31,86.2
1953-03-31,90.7
1953-06-30,
1953-09-30,80.8
1953-12-31,80.7
1954-03-31,82.0
1954-06-30,82.9
1954-09-30,
1954-12-31,87.0
1955-03-31,95.9
1955-06-30,99.1
1955-09-30,
1955-12-31,99.7
1956-03-31,
1956-06-30,98.2
1956-09-30,99.9
1956-12-31,100.2
1957-03-31,
1957-06-30,92.9
1957-09-30,
1957-12-31,83.7
1958-03-31,78.5
1958-06-30,80.9
1958-09-30,
1958-12-31,90.8
1959-03-31,
1959-06-30,95.3
1959-09-30,
1959-12-31,93.8
1960-03-31,100.0
1960-06-30,93.3
1960-09-30,97.2
1960-12-31,90.1
1961-03-31,91.6
1961-06-30,92.5
1961-09-30,99.2
1961-12-31,93.0
1962-03-31,99.9
1962-06-30,95.4
1962-09-30,91.6
1962-12-31,95.0
1963-03-31,98.4
1963-06-30,91.7
1963-09-30,96.4
1963-12-31,94.4
1964-03-31,99.5
1964-06-30,98.5
1964-09-30,100.6
1964-12-31,99.9
1965-03-31,102.0
1965-06-30,105.4
1965-09-30,103.4
1965-12-31,102.9
1966-03-31,100.0
1966-06-30,95.7
1966-09-30,91.2
1966-12-31,88.3
1967-03-31,94.1
1967-06-30,95.9
1967-09-30,97.0
1967-12-31,92.9
1968-03-31,97.2
1968-06-30,92.4
1968-09-30,92.4
1968-12-31,91.7
1969-03-31,98.2
1969-06-30,91.5
1969-09-30,86.4
1969-12-31,79.7
1970-03-31,78.1
1970-06-30,75.4
1970-09-30,77.6
1970-12-31,72.4
1971-03-31,78.1
1971-06-30,80.2
1971-09-30,82.1
1971-12-31,82.0
1972-03-31,92.8
1972-06-30,88.6
1972-09-30,95.2
1972-12-31,90.7
1973-03-31,81.9
1973-06-30,77.0
1973-09-30,72.0
1973-12-31,76.5
1974-03-31,61.8
1974-06-30,72.1
1974-09-30,64.4
1974-12-31,59.5
1975-03-31,57.6
1975-06-30,72.8
1975-09-30,75.7
1975-12-31,75.6
1976-03-31,84.6
1976-06-30,83.3
1976-09-30,89.7
1976-12-31,87.0
1977-03-31,87.1
1977-06-30,90.2
1977-09-30,89.0
1977-12-31,84.4
1978-03-31,82.26666666666667
1978-06-30,81.5
1978-09-30,80.4
1978-12-31,73.46666666666665
1979-03-31,71.46666666666667
1979-06-30,66.63333333333333
1979-09-30,63.866666666666674
1979-12-31,62.13333333333333
1980-03-31,63.46666666666667
1980-06-30,54.366666666666674
1980-09-30,67.76666666666667
1980-12-31,72.06666666666666
1981-03-31,68.26666666666667
1981-06-30,73.93333333333334
1981-09-30,74.8
1981-12-31,65.7
1982-03-31,66.5
1982-06-30,66.23333333333333
1982-09-30,66.7
1982-12-31,72.46666666666667
1983-03-31,75.26666666666667
1983-06-30,91.53333333333335
1983-09-30,91.2
1983-12-31,91.53333333333335
1984-03-31,99.5
1984-06-30,96.56666666666666
1984-09-30,98.86666666666667
1984-12-31,94.96666666666665
1985-03-31,94.46666666666665
1985-06-30,94.3
1985-09-30,92.83333333333333
1985-12-31,91.06666666666668
1986-03-31,95.53333333333335
1986-06-30,96.76666666666667
1986-09-30,94.83333333333333
1986-12-31,92.03333333333335
1987-03-31,90.46666666666665
1987-06-30,91.8
1987-09-30,93.89999999999999
1987-12-31,86.39999999999999
1988-03-31,92.33333333333333
1988-06-30,93.56666666666666
1988-09-30,96.03333333333335
1988-12-31,93.0
1989-03-31,95.86666666666667
1989-06-30,90.93333333333334
1989-09-30,92.46666666666665
1989-12-31,91.76666666666667
1990-03-31,91.26666666666667
1990-06-30,90.93333333333334
1990-09-30,79.13333333333334
1990-12-31,65.13333333333334
1991-03-31,74.96666666666667
1991-06-30,80.73333333333333
1991-09-30,82.63333333333334
1991-12-31,71.86666666666666
1992-03-31,70.76666666666667
1992-06-30,78.93333333333334
1992-09-30,76.1
1992-12-31,83.2
1993-03-31,87.26666666666667
1993-06-30,82.46666666666665
1993-09-30,77.39999999999999
1993-12-31,84.03333333333335
1994-03-31,93.0
1994-06-30,92.2
1994-09-30,90.73333333333333
1994-12-31,93.13333333333333
1995-03-31,94.33333333333333
1995-06-30,91.66666666666667
1995-09-30,93.16666666666667
1995-12-31,89.8
1996-03-31,90.5
1996-06-30,91.5
1996-09-30,94.89999999999999
1996-12-31,97.53333333333335
1997-03-31,99.03333333333335
1997-06-30,103.03333333333335
1997-09-30,105.83333333333333
1997-12-31,104.96666666666665
1998-03-31,107.83333333333333
1998-06-30,106.93333333333334
1998-09-30,103.5
1998-12-31,100.2
1999-03-31,105.89999999999999
1999-06-30,106.23333333333333
1999-09-30,105.89999999999999
1999-12-31,105.26666666666667
2000-03-31,110.13333333333333
2000-06-30,108.76666666666667
2000-09-30,107.46666666666665
2000-12-31,103.93333333333334
2001-03-31,92.26666666666667
2001-06-30,91.0
2001-09-30,88.56666666666666
2001-12-31,85.13333333333334
2002-03-31,93.13333333333333
2002-06-30,94.10000000000001
2002-09-30,87.26666666666665
2002-12-31,83.83333333333333
2003-03-31,79.96666666666667
2003-06-30,89.26666666666667
2003-09-30,89.3
2003-12-31,91.96666666666665
2004-03-31,98.0
2004-06-30,93.33333333333333
2004-09-30,95.60000000000001
2004-12-31,93.86666666666667
2005-03-31,94.06666666666666
2005-06-30,90.2
2005-09-30,87.5
2005-12-31,82.43333333333334
2006-03-31,88.93333333333334
2006-06-30,83.8
2006-09-30,84.03333333333335
2006-12-31,92.46666666666665
2007-03-31,92.2
