,value
1947-03-31,21.7
1947-06-30,22.01
1947-09-30,22.49
1947-12-31,23.126666666666665
1948-03-31,23.616666666666664
1948-06-30,23.993333333333336
1948-09-30,24.396666666666665
1948-12-31,24.173333333333332
1949-03-31,23.94333333333333
1949-06-30,23.916666666666668
1949-09-30,23.71666666666667
1949-12-31,23.66
1950-03-31,23.58666666666667
1950-06-30,23.766666666666666
1950-09-30,24.203333333333333
1950-12-31,24.69333333333333
1951-03-31,25.69666666666667
1951-06-30,25.94666666666667
1951-09-30,25.933333333333334
1951-12-31,26.316666666666666
1952-03-31,26.416666666666668
1952-06-30,26.486666666666668
1952-09-30,26.666666666666668
1952-12-31,26.69666666666667
1953-03-31,26.62
1953-06-30,26.72
1953-09-30,26.843333333333334
1953-12-31,26.89
1954-03-31,26.953333333333333
1954-06-30,26.91
1954-09-30,26.84
1954-12-31,26.756666666666664
1955-03-31,26.793333333333333
1955-06-30,26.756666666666664
1955-09-30,26.776666666666667
1955-12-31,26.856666666666666
1956-03-31,26.86
1956-06-30,27.036666666666665
1956-09-30,27.316666666666666
1956-12-31,27.55
1957-03-31,27.776666666666667
1957-06-30,28.013333333333332
1957-09-30,28.263333333333335
1957-12-31,28.400000000000002
1958-03-31,28.736666666666668
1958-06-30,28.930000000000003
1958-09-30,28.913333333333338
1958-12-31,28.94333333333333
1959-03-31,28.993333333333336
1959-06-30,29.043333333333333
1959-09-30,29.19333333333333
1959-12-31,29.37
1960-03-31,29.396666666666665
1960-06-30,29.573333333333334
1960-09-30,29.59
1960-12-31,29.78
1961-03-31,29.84
1961-06-30,29.83
1961-09-30,29.94666666666667
1961-12-31,29.99
1962-03-31,30.106666666666666
1962-06-30,30.22
1962-09-30,30.30666666666667
1962-12-31,30.38
1963-03-31,30.47666666666667
1963-06-30,30.53333333333333
1963-09-30,30.72
1963-12-31,30.80333333333333
1964-03-31,30.930000000000003
1964-06-30,30.98
1964-09-30,31.05
1964-12-31,31.19333333333333
1965-03-31,31.290000000000003
1965-06-30,31.49
1965-09-30,31.583333333333332
1965-12-31,31.75
1966-03-31,32.04666666666666
1966-06-30,32.336666666666666
1966-09-30,32.61666666666667
1966-12-31,32.88333333333333
1967-03-31,32.96666666666667
1967-06-30,33.166666666666664
1967-09-30,33.5
1967-12-31,33.86666666666667
1968-03-31,34.199999999999996
1968-06-30,34.53333333333333
1968-09-30,35.0
1968-12-31,35.43333333333333
1969-03-31,35.86666666666667
1969-06-30,36.43333333333333
1969-09-30,36.93333333333333
1969-12-31,37.5
1970-03-31,38.1
1970-06-30,38.63333333333333
1970-09-30,39.03333333333333
1970-12-31,39.6
1971-03-31,39.93333333333333
1971-06-30,40.300000000000004
1971-09-30,40.699999999999996
1971-12-31,41.0
1972-03-31,41.333333333333336
1972-06-30,41.6
1972-09-30,41.93333333333333
1972-12-31,42.36666666666667
1973-03-31,43.03333333333333
1973-06-30,43.93333333333334
1973-09-30,44.800000000000004
1973-12-31,45.93333333333334
1974-03-31,47.29999999999999
1974-06-30,48.56666666666666
1974-09-30,49.93333333333334
1974-12-31,51.46666666666667
1975-03-31,52.56666666666666
1975-06-30,53.199999999999996
1975-09-30,54.26666666666667
1975-12-31,55.26666666666667
1976-03-31,55.9
1976-06-30,56.4
1976-09-30,57.300000000000004
1976-12-31,58.13333333333333
1977-03-31,59.199999999999996
1977-06-30,60.23333333333333
1977-09-30,61.06666666666666
1977-12-31,61.96666666666667
1978-03-31,63.03333333333333
1978-06-30,64.46666666666667
1978-09-30,65.96666666666667
1978-12-31,67.5
1979-03-31,69.2
1979-06-30,71.39999999999999
1979-09-30,73.7
1979-12-31,76.03333333333335
1980-03-31,79.03333333333333
1980-06-30,81.7
1980-09-30,83.23333333333333
1980-12-31,85.56666666666666
1981-03-31,87.93333333333334
1981-06-30,89.76666666666667
1981-09-30,92.26666666666667
1981-12-31,93.76666666666667
1982-03-31,94.60000000000001
1982-06-30,95.96666666666665
1982-09-30,97.63333333333333
1982-12-31,97.93333333333334
1983-03-31,98.0
1983-06-30,99.13333333333333
1983-09-30,100.10000000000001
1983-12-31,101.10000000000001
1984-03-31,102.53333333333335
1984-06-30,103.5
1984-09-30,104.39999999999999
1984-12-31,105.3
1985-03-31,106.26666666666667
1985-06-30,107.23333333333333
1985-09-30,107.89999999999999
1985-12-31,109.0
1986-03-31,109.56666666666666
1986-06-30,109.03333333333335
1986-09-30,109.7
1986-12-31,110.46666666666665
1987-03-31,111.8
1987-06-30,113.06666666666666
1987-09-30,114.26666666666667
1987-12-31,115.33333333333333
1988-03-31,116.23333333333333
1988-06-30,117.56666666666666
1988-09-30,119.0
1988-12-31,120.3
1989-03-31,121.66666666666667
1989-06-30,123.63333333333333
1989-09-30,124.60000000000001
1989-12-31,125.86666666666667
1990-03-31,128.03333333333333
1990-06-30,129.29999999999998
1990-09-30,131.53333333333333
1990-12-31,133.76666666666665
1991-03-31,134.76666666666668
1991-06-30,135.56666666666666
1991-09-30,136.6
1991-12-31,137.73333333333332
1992-03-31,138.66666666666666
1992-06-30,139.73333333333332
1992-09-30,140.79999999999998
1992-12-31,142.03333333333333
1993-03-31,143.0666666666667
1993-06-30,144.1
1993-09-30,144.76666666666668
1993-12-31,145.96666666666667
1994-03-31,146.70000000000002
1994-06-30,147.53333333333333
1994-09-30,148.9
1994-12-31,149.76666666666668
1995-03-31,150.86666666666667
1995-06-30,152.1
1995-09-30,152.86666666666667
1995-12-31,153.70000000000002
1996-03-31,155.06666666666666
1996-06-30,156.4
1996-09-30,157.29999999999998
1996-12-31,158.66666666666666
1997-03-31,159.63333333333333
1997-06-30,160.0
1997-09-30,160.79999999999998
1997-12-31,161.66666666666666
1998-03-31,162.0
1998-06-30,162.53333333333333
1998-09-30,163.36666666666667
1998-12-31,164.13333333333333
1999-03-31,164.73333333333332
1999-06-30,165.96666666666667
1999-09-30,167.20000000000002
1999-12-31,168.43333333333334
2000-03-31,170.1
2000-06-30,171.4333333333333
2000-09-30,173.0
2000-12-31,174.23333333333335
2001-03-31,175.9
2001-06-30,177.13333333333333
2001-09-30,177.63333333333333
2001-12-31,177.5
2002-03-31,178.0666666666667
2002-06-30,179.46666666666667
2002-09-30,180.4333333333333
2002-12-31,181.5
2003-03-31,183.36666666666667
2003-06-30,183.0666666666667
2003-09-30,184.4333333333333
2003-12-31,185.13333333333333
2004-03-31,186.70000000000002
2004-06-30,188.16666666666666
2004-09-30,189.36666666666667
2004-12-31,191.4
2005-03-31,192.36666666666667
2005-06-30,193.66666666666666
2005-09-30,196.6
2005-12-31,198.4333333333333
2006-03-31,199.46666666666667
2006-06-30,201.26666666666665
2006-09-30,203.16666666666666
2006-12-31,202.33333333333334
2007-03-31,204.317
2007-06-30,206.631
2007-09-30,207.939
2007-12-31,210.4896666666667
2008-03-31,212.76966666666667
2008-06-30,215.5376666666667
2008-09-30,218.861
2008-12-31,213.84866666666667
2009-03-31,212.37766666666667
2009-06-30,213.50699999999998
2009-09-30,215.34399999999997
2009-12-31,217.03
2010-03-31,217.37400000000002
2010-06-30,217.29733333333334
2010-09-30,217.93433333333334
2010-12-31,219.69899999999998
2011-03-31,222.04366666666667
2011-06-30,224.56833333333336
2011-09-30,226.03266666666664
2011-12-31,227.04733333333334
2012-03-31,228.32600000000002
2012-06-30,228.808
2012-09-30,229.841
2012-12-31,231.36933333333332
2013-03-31,232.29933333333335
2013-06-30,232.045
2013-09-30,233.29999999999998
2013-12-31,234.1626666666667
2014-03-31,235.621
2014-06-30,236.87233333333333
2014-09-30,237.47833333333332
2014-12-31,236.88833333333332
2015-03-31,235.35500000000002
2015-06-30,236.96
2015-09-30,237.855
2015-12-31,237.837
2016-03-31,237.68933333333334
2016-06-30,239.59033333333332
2016-09-30,240.60733333333334
2016-12-31,242.13466666666667
2017-03-31,243.83866666666665
2017-06-30,244.12
2017-09-30,245.287
2017-12-31,247.23833333333334
2018-03-31,249.3216666666667
2018-06-30,250.679
2018-09-30,251.68633333333332
2018-12-31,252.711
2019-03-31,253.38566666666665
2019-06-30,255.24733333333333
2019-09-30,256.08933333333334
2019-12-31,257.888
2020-03-31,258.81766666666664
2020-06-30,256.292
2020-09-30,259.22166666666664
2020-12-31,261.0916666666667
2021-03-31,263.74233333333336
2021-06-30,268.5503333333333
2021-09-30,272.8296666666667
2021-12-31,278.77133333333336
2022-03-31,284.90566666666666
2022-06-30,291.60533333333336
2022-09-30,295.453
2022-12-31,298.5416666666667
2023-03-31,301.23033333333336
2023-06-30,303.3976666666667
2023-09-30,305.989
2023-12-31,308.195
2024-03-31,311.00333333333333
2024-06-30,313.0806666666667
2024-09-30,314.12100000000004
2024-12-31,316.5876666666666
2025-03-31,319.47499999999997
2025-06-30,320.78566666666666
2025-09-30,323.23499999999996
2025-12-31,325.547
2026-03-31,327.024
