,value
1947-03-31,23.433333333333334
1947-06-30,23.766666666666666
1947-09-30,24.266666666666666
1947-12-31,24.96666666666667
1948-03-31,25.566666666666666
1948-06-30,26.0
1948-09-30,26.399999999999995
1948-12-31,26.133333333333336
1949-03-31,25.733333333333334
1949-06-30,25.666666666666668
1949-09-30,25.433333333333334
1949-12-31,25.3
1950-03-31,25.166666666666668
1950-06-30,25.333333333333332
1950-09-30,25.833333333333332
1950-12-31,26.46666666666667
1951-03-31,27.633333333333336
1951-06-30,27.899999999999995
1951-09-30,27.8
1951-12-31,28.266666666666666
1952-03-31,28.333333333333332
1952-06-30,28.366666666666664
1952-09-30,28.600000000000005
1952-12-31,28.53333333333333
1953-03-31,28.46666666666667
1953-06-30,28.53333333333333
1953-09-30,28.600000000000005
1953-12-31,28.633333333333336
1954-03-31,28.666666666666668
1954-06-30,28.600000000000005
1954-09-30,28.5
1954-12-31,28.3
1955-03-31,28.366666666666664
1955-06-30,28.3
1955-09-30,28.3
1955-12-31,28.399999999999995
1956-03-31,28.400000000000002
1956-06-30,28.599999999999998
1956-09-30,28.899999999999995
1956-12-31,29.133333333333336
1957-03-31,29.400000000000002
1957-06-30,29.633333333333336
1957-09-30,29.866666666666664
1957-12-31,30.0
1958-03-31,30.433333333333334
1958-06-30,30.600000000000005
1958-09-30,30.600000000000005
1958-12-31,30.666666666666668
1959-03-31,30.7
1959-06-30,30.733333333333334
1959-09-30,30.933333333333334
1959-12-31,31.03333333333333
1960-03-31,31.100000000000005
1960-06-30,31.266666666666666
1960-09-30,31.3
1960-12-31,31.5
1961-03-31,31.600000000000005
1961-06-30,31.600000000000005
1961-09-30,31.7
1961-12-31,31.7
1962-03-31,31.900000000000002
1962-06-30,32.0
1962-09-30,32.03333333333333
1962-12-31,32.2
1963-03-31,32.266666666666666
1963-06-30,32.300000000000004
1963-09-30,32.53333333333333
1963-12-31,32.6
1964-03-31,32.7
1964-06-30,32.733333333333334
1964-09-30,32.833333333333336
1964-12-31,32.93333333333333
1965-03-31,33.06666666666667
1965-06-30,33.266666666666666
1965-09-30,33.36666666666667
1965-12-31,33.56666666666667
1966-03-31,33.86666666666667
1966-06-30,34.2
1966-09-30,34.46666666666667
1966-12-31,34.7
1967-03-31,34.833333333333336
1967-06-30,34.96666666666667
1967-09-30,35.36666666666667
1967-12-31,35.699999999999996
1968-03-31,36.1
1968-06-30,36.43333333333333
1968-09-30,36.800000000000004
1968-12-31,37.23333333333333
1969-03-31,37.6
1969-06-30,38.13333333333333
1969-09-30,38.63333333333333
1969-12-31,39.13333333333333
1970-03-31,39.666666666666664
1970-06-30,40.1
1970-09-30,40.46666666666667
1970-12-31,41.0
1971-03-31,41.43333333333333
1971-06-30,41.9
1971-09-30,42.266666666666666
1971-12-31,42.46666666666667
1972-03-31,42.833333333333336
1972-06-30,43.06666666666666
1972-09-30,43.4
1972-12-31,43.86666666666667
1973-03-31,44.63333333333333
1973-06-30,45.699999999999996
1973-09-30,46.63333333333333
1973-12-31,47.699999999999996
1974-03-31,49.300000000000004
1974-06-30,50.63333333333333
1974-09-30,52.1
1974-12-31,53.70000000000001
1975-03-31,54.699999999999996
1975-06-30,55.333333333333336
1975-09-30,56.53333333333333
1975-12-31,57.6
1976-03-31,58.199999999999996
