,value
1959-03-31,1648.0
1959-06-30,1530.3333333333333
1959-09-30,1505.6666666666667
1959-12-31,1457.3333333333333
1960-03-31,1357.3333333333333
1960-06-30,1269.0
1960-09-30,1212.6666666666667
1960-12-31,1185.0
1961-03-31,1240.3333333333333
1961-06-30,1258.6666666666667
1961-09-30,1358.6666666666667
1961-12-31,1388.3333333333333
1962-03-31,1360.6666666666667
1962-06-30,1470.3333333333333
1962-09-30,1430.3333333333333
1962-12-31,1573.0
1963-03-31,1411.3333333333333
1963-06-30,1639.3333333333333
1963-09-30,1672.0
1963-12-31,1630.6666666666667
1964-03-31,1646.6666666666667
1964-06-30,1488.3333333333333
1964-09-30,1528.6666666666667
1964-12-31,1498.0
1965-03-31,1405.6666666666667
1965-06-30,1468.0
1965-09-30,1481.0
1965-12-31,1522.6666666666667
1966-03-31,1380.6666666666667
1966-06-30,1270.3333333333333
1966-09-30,1083.6666666666667
1966-12-31,931.3333333333334
1967-03-31,1082.0
1967-06-30,1214.3333333333333
1967-09-30,1397.3333333333333
1967-12-31,1445.6666666666667
1968-03-31,1455.3333333333333
1968-06-30,1455.6666666666667
1968-09-30,1521.0
1968-12-31,1582.3333333333333
1969-03-31,1678.3333333333333
1969-06-30,1545.0
1969-09-30,1411.0
1969-12-31,1312.3333333333333
1970-03-31,1236.3333333333333
1970-06-30,1313.0
1970-09-30,1483.3333333333333
1970-12-31,1706.6666666666667
1971-03-31,1826.3333333333333
1971-06-30,2020.3333333333333
1971-09-30,2094.0
1971-12-31,2201.6666666666665
1972-03-31,2406.0
1972-06-30,2241.3333333333335
1972-09-30,2371.6666666666665
1972-12-31,2424.0
1973-03-31,2378.3333333333335
1973-06-30,2139.0
1973-09-30,2016.0
1973-12-31,1642.3333333333333
1974-03-31,1586.0
1974-06-30,1515.3333333333333
1974-09-30,1202.6666666666667
1974-12-31,1023.6666666666666
1975-03-31,976.3333333333334
1975-06-30,1071.0
1975-09-30,1250.0
1975-12-31,1341.6666666666667
1976-03-31,1442.0
1976-06-30,1449.6666666666667
1976-09-30,1557.0
1976-12-31,1691.3333333333333
1977-03-31,1844.3333333333333
1977-06-30,1918.6666666666667
1977-09-30,2009.0
1977-12-31,2075.3333333333335
1978-03-31,1829.3333333333333
