,value
1975-03-31,59.67
1975-06-30,60.64
1975-09-30,61.04
1975-12-31,62.19
1976-03-31,62.7
1976-06-30,65.27
1976-09-30,66.35
1976-12-31,67.03
1977-03-31,69.27
1977-06-30,72.39
1977-09-30,74.12
1977-12-31,76.87
1978-03-31,79.24
1978-06-30,82.21
1978-09-30,85.12
1978-12-31,87.47
1979-03-31,91.38
1979-06-30,94.43
1979-09-30,96.48
1979-12-31,98.27
1980-03-31,100.0
1980-06-30,101.67
1980-09-30,104.43
1980-12-31,104.57
1981-03-31,105.07
1981-06-30,107.34
1981-09-30,108.87
1981-12-31,107.52
1982-03-31,106.14
1982-06-30,108.61
1982-09-30,106.85
1982-12-31,111.54
1983-03-31,114.33
1983-06-30,115.79
1983-09-30,116.81
1983-12-31,117.54
1984-03-31,119.28
1984-06-30,120.9
1984-09-30,122.03
1984-12-31,123.03
1985-03-31,124.73
1985-06-30,126.63
1985-09-30,128.6
1985-12-31,130.06
1986-03-31,132.57
1986-06-30,135.35
1986-09-30,137.42
1986-12-31,139.54
1987-03-31,142.3
1987-06-30,144.52
1987-09-30,146.19
1987-12-31,147.13
1988-03-31,149.41
1988-06-30,152.42
1988-09-30,154.0
1988-12-31,155.4
1989-03-31,157.25
1989-06-30,159.38
1989-09-30,162.78
1989-12-31,164.12
1990-03-31,165.05
1990-06-30,165.74
1990-09-30,166.76
1990-12-31,166.1
1991-03-31,167.49
1991-06-30,168.6
1991-09-30,168.93
1991-12-31,171.28
1992-03-31,172.61
1992-06-30,172.56
1992-09-30,174.54
1992-12-31,175.42
1993-03-31,175.49
1993-06-30,177.17
1993-09-30,178.61
1993-12-31,180.07
1994-03-31,181.19
1994-06-30,182.26
1994-09-30,183.02
1994-12-31,182.86
1995-03-31,183.82
1995-06-30,186.84
1995-09-30,189.72
1995-12-31,191.19
1996-03-31,193.32
1996-06-30,193.63
1996-09-30,194.5
1996-12-31,196.02
1997-03-31,197.63
1997-06-30,199.27
1997-09-30,201.99
1997-12-31,204.61
1998-03-31,207.69
1998-06-30,209.52
1998-09-30,212.46
1998-12-31,214.98
1999-03-31,217.23
1999-06-30,220.12
1999-09-30,223.25
1999-12-31,225.54
2000-03-31,229.85
2000-06-30,233.61
2000-09-30,237.86
2000-12-31,241.5
2001-03-31,247.49
2001-06-30,251.63
2001-09-30,255.53
2001-12-31,258.69
2002-03-31,262.39
2002-06-30,266.88
2002-09-30,272.17
2002-12-31,276.03
2003-03-31,279.39
2003-06-30,282.81
2003-09-30,287.17
2003-12-31,295.28
2004-03-31,299.93
2004-06-30,307.26
2004-09-30,318.96
2004-12-31,325.81
2005-03-31,333.29
2005-06-30,343.98
2005-09-30,354.39
2005-12-31,362.43
2006-03-31,368.16
2006-06-30,371.96
2006-09-30,375.01
2006-12-31,378.86
2007-03-31,380.26
2007-06-30,380.01
2007-09-30,375.76
2007-12-31,374.54
2008-03-31,371.78
2008-06-30,362.39
2008-09-30,350.98
2008-12-31,347.73
2009-03-31,350.3
2009-06-30,341.13
2009-09-30,332.23
2009-12-31,329.69
2010-03-31,325.76
2010-06-30,322.8
2010-09-30,325.92
2010-12-31,323.61
2011-03-31,314.62
2011-06-30,309.06
2011-09-30,311.36
2011-12-31,312.8
2012-03-31,309.52
2012-06-30,308.11
2012-09-30,312.2
2012-12-31,314.66
2013-03-31,316.21
2013-06-30,321.03
2013-09-30,325.58
2013-12-31,328.17
2014-03-31,330.83
2014-06-30,337.25
2014-09-30,342.11
2014-12-31,344.87
2015-03-31,348.69
2015-06-30,354.33
2015-09-30,359.34
2015-12-31,362.21
2016-03-31,365.55
2016-06-30,372.36
2016-09-30,379.02
2016-12-31,381.94
2017-03-31,384.62
2017-06-30,393.22
2017-09-30,399.28
2017-12-31,402.59
2018-03-31,408.22
2018-06-30,415.71
2018-09-30,420.8
2018-12-31,422.21
2019-03-31,426.96
2019-06-30,434.1
2019-09-30,439.63
2019-12-31,443.54
2020-03-31,448.69
2020-06-30,453.22
2020-09-30,461.22
2020-12-31,471.32
2021-03-31,482.74
2021-06-30,509.53
2021-09-30,537.9
2021-12-31,556.24
2022-03-31,576.53
2022-06-30,613.79
2022-09-30,623.31
2022-12-31,616.89
2023-03-31,620.53
2023-06-30,638.74
2023-09-30,649.43
2023-12-31,649.87
2024-03-31,659.33
2024-06-30,675.22
2024-09-30,682.41
2024-12-31,685.93
2025-03-31,691.36
2025-06-30,701.82
2025-09-30,705.32
2025-12-31,709.05
