,value
1959-03-31,287.8333333333333
1959-06-30,292.1333333333334
1959-09-30,296.09999999999997
1959-12-31,297.1333333333334
1960-03-31,298.6333333333333
1960-06-30,301.09999999999997
1960-09-30,306.46666666666664
1960-12-31,310.93333333333334
1961-03-31,316.3
1961-06-30,322.1333333333333
1961-09-30,327.56666666666666
1961-12-31,333.3333333333333
1962-03-31,340.23333333333335
1962-06-30,347.43333333333334
1962-09-30,352.8333333333333
1962-12-31,359.90000000000003
1963-03-31,367.93333333333334
1963-06-30,375.93333333333334
1963-09-30,383.56666666666666
1963-12-31,391.0
1964-03-31,397.5333333333333
1964-06-30,404.3333333333333
1964-09-30,413.4666666666667
1964-12-31,421.93333333333334
1965-03-31,430.3666666666666
1965-06-30,437.5333333333333
1965-09-30,446.06666666666666
1965-12-31,455.8333333333333
1966-03-31,464.59999999999997
1966-06-30,470.2
1966-09-30,472.9666666666667
1966-12-31,477.73333333333335
1967-03-31,485.4666666666667
1967-06-30,497.09999999999997
1967-09-30,510.6000000000001
1967-12-31,521.4
1968-03-31,530.3333333333334
1968-06-30,539.0666666666667
1968-09-30,549.5333333333333
1968-12-31,562.2666666666667
1969-03-31,571.8666666666667
1969-06-30,576.9
1969-09-30,580.5666666666667
1969-12-31,585.5666666666666
1970-03-31,587.7333333333332
1970-06-30,591.6999999999999
1970-09-30,605.0666666666667
1970-12-31,621.3333333333334
1971-03-31,641.2666666666667
1971-06-30,666.0333333333333
1971-09-30,685.8666666666667
1971-12-31,704.4333333333334
1972-03-31,725.6333333333333
1972-06-30,743.8000000000001
1972-09-30,768.8333333333334
1972-12-31,794.3666666666667
1973-03-31,813.2333333333332
1973-06-30,826.6
1973-09-30,838.1999999999999
1973-12-31,849.0
1974-03-31,864.6666666666666
1974-06-30,875.1
1974-09-30,884.4666666666667
1974-12-31,898.0
1975-03-31,915.1333333333333
1975-06-30,948.6666666666666
1975-09-30,983.2333333333332
1975-12-31,1006.9666666666667
1976-03-31,1038.9666666666665
1976-06-30,1070.1666666666667
1976-09-30,1098.6000000000001
1976-12-31,1138.3999999999999
1977-03-31,1177.1000000000001
1977-06-30,1208.8
1977-09-30,1236.6333333333334
1977-12-31,1262.2333333333333
1978-03-31,1285.8
1978-06-30,1309.8
1978-09-30,1334.2
1978-12-31,1359.1333333333332
1979-03-31,1379.0666666666666
1979-06-30,1411.7666666666667
1979-09-30,1445.1666666666667
1979-12-31,1466.6666666666667
1980-03-31,1492.3666666666668
1980-06-30,1514.5666666666666
1980-09-30,1560.3333333333333
1980-12-31,1593.4666666666665
1981-03-31,1620.7333333333333
1981-06-30,1664.5666666666666
1981-09-30,1694.0666666666666
1981-12-31,1737.8
1982-03-31,1777.1333333333332
1982-06-30,1815.1000000000001
1982-09-30,1845.0333333333335
1982-12-31,1886.4333333333334
1983-03-31,1990.4666666666665
1983-06-30,2041.7333333333333
1983-09-30,2074.0
1983-12-31,2111.6666666666665
1984-03-31,2157.2
