,value
1971-06-30,7.413076923076924
1971-09-30,7.658461538461538
1971-12-31,7.5528571428571425
1972-03-31,7.349230769230768
1972-06-30,7.346923076923077
1972-09-30,7.406153846153846
1972-12-31,7.43076923076923
1973-03-31,7.446153846153846
1973-06-30,7.65
1973-09-30,8.456923076923077
1973-12-31,8.626153846153846
1974-03-31,8.462307692307693
1974-06-30,8.886923076923077
1974-09-30,9.606153846153846
1974-12-31,9.793076923076923
1975-03-31,9.168461538461539
1975-06-30,8.875384615384617
1975-09-30,8.983846153846155
1975-12-31,9.160769230769231
1976-03-31,8.873076923076923
1976-06-30,8.776923076923076
1976-09-30,8.967692307692307
1976-12-31,8.847142857142858
1977-03-31,8.693333333333333
1977-06-30,8.807692307692308
1977-09-30,8.925
1977-12-31,8.936923076923076
1978-03-31,9.126923076923077
1978-06-30,9.557692307692308
1978-09-30,9.76
1978-12-31,10.122307692307693
1979-03-31,10.409230769230769
1979-06-30,10.763846153846155
1979-09-30,11.156923076923077
1979-12-31,12.484615384615385
1980-03-31,13.68
1980-06-30,14.41923076923077
1980-09-30,12.643076923076924
1980-12-31,14.226153846153846
1981-03-31,15.126923076923077
1981-06-30,16.23923076923077
1981-09-30,17.38
1981-12-31,17.735714285714288
1982-03-31,17.414166666666667
1982-06-30,16.76615384615385
1982-09-30,16.22153846153846
1982-12-31,14.032857142857143
1983-03-31,13.030000000000001
1983-06-30,12.763076923076925
1983-09-30,13.641428571428571
1983-12-31,13.459999999999999
1984-03-31,13.333076923076923
1984-06-30,14.035384615384617
1984-09-30,14.493846153846153
1984-12-31,13.64846153846154
1985-03-31,13.063846153846153
1985-06-30,12.785384615384617
1985-09-30,12.140769230769232
1985-12-31,11.73076923076923
1986-03-31,10.583846153846155
1986-06-30,10.246153846153845
1986-09-30,10.235384615384616
1986-12-31,9.683846153846154
1987-03-31,9.114615384615384
1987-06-30,10.343076923076923
1987-09-30,10.481538461538461
1987-12-31,10.864285714285714
1988-03-31,10.068333333333333
1988-06-30,10.359230769230768
1988-09-30,10.49642857142857
1988-12-31,10.41
1989-03-31,10.82
1989-06-30,10.636153846153848
1989-09-30,10.007692307692308
1989-12-31,9.813846153846153
1990-03-31,10.131538461538462
1990-06-30,10.323846153846155
1990-09-30,10.103076923076923
1990-12-31,9.95923076923077
1991-03-31,9.500769230769231
1991-06-30,9.522307692307693
1991-09-30,9.273076923076923
1991-12-31,8.69
1992-03-31,8.688461538461539
1992-06-30,8.677692307692308
1992-09-30,8.017692307692307
1992-12-31,8.192142857142857
1993-03-31,7.723333333333334
1993-06-30,7.453076923076923
1993-09-30,7.087692307692308
1993-12-31,7.046428571428572
1994-03-31,7.295833333333333
1994-06-30,8.427692307692308
1994-09-30,8.594285714285714
1994-12-31,9.105384615384615
1995-03-31,8.785384615384617
1995-06-30,7.917692307692307
1995-09-30,7.696153846153846
1995-12-31,7.339230769230769
1996-03-31,7.272307692307692
1996-06-30,8.102307692307692
1996-09-30,8.146923076923077
1996-12-31,7.703076923076923
1997-03-31,7.7930769230769235
1997-06-30,7.926923076923076
1997-09-30,7.47
1997-12-31,7.205384615384616
1998-03-31,7.050000000000001
1998-06-30,7.0976923076923075
1998-09-30,6.872307692307692
1998-12-31,6.764285714285714
1999-03-31,6.8775
1999-06-30,7.181538461538461
1999-09-30,7.786153846153846
1999-12-31,7.840714285714285
2000-03-31,8.256923076923076
2000-06-30,8.316153846153846
2000-09-30,8.02
2000-12-31,7.620769230769231
2001-03-31,7.006923076923077
2001-06-30,7.13
2001-09-30,6.963846153846154
2001-12-31,6.770769230769231
2002-03-31,6.9715384615384615
2002-06-30,6.813076923076922
2002-09-30,6.28923076923077
2002-12-31,6.075384615384616
