,value
1963-03-31,505.3333333333333
1963-06-30,572.3333333333334
1963-09-30,608.3333333333334
1963-12-31,553.3333333333334
1964-03-31,573.3333333333334
1964-06-30,554.0
1964-09-30,582.3333333333334
1964-12-31,557.0
1965-03-31,549.3333333333334
1965-06-30,571.0
1965-09-30,585.3333333333334
1965-12-31,593.3333333333334
1966-03-31,565.6666666666666
1966-06-30,492.6666666666667
1966-09-30,390.0
1966-12-31,379.3333333333333
1967-03-31,421.0
1967-06-30,493.6666666666667
1967-09-30,516.6666666666666
1967-12-31,522.6666666666666
1968-03-31,509.0
1968-06-30,461.0
1968-09-30,500.3333333333333
1968-12-31,494.0
1969-03-31,492.6666666666667
1969-06-30,452.6666666666667
1969-09-30,418.0
1969-12-31,431.3333333333333
1970-03-31,407.6666666666667
1970-06-30,465.3333333333333
1970-09-30,520.0
1970-12-31,565.6666666666666
1971-03-31,639.0
1971-06-30,642.0
1971-09-30,663.3333333333334
1971-12-31,682.0
1972-03-31,683.0
1972-06-30,682.6666666666666
1972-09-30,740.3333333333334
1972-12-31,783.3333333333334
1973-03-31,747.6666666666666
1973-06-30,657.0
1973-09-30,576.0
1973-12-31,543.6666666666666
1974-03-31,544.6666666666666
1974-06-30,556.0
1974-09-30,512.3333333333334
1974-12-31,438.3333333333333
1975-03-31,438.3333333333333
1975-06-30,559.6666666666666
1975-09-30,563.6666666666666
1975-12-31,652.6666666666666
1976-03-31,612.6666666666666
1976-06-30,590.6666666666666
1976-09-30,669.3333333333334
1976-12-31,736.6666666666666
1977-03-31,845.3333333333334
1977-06-30,803.6666666666666
1977-09-30,801.6666666666666
1977-12-31,827.6666666666666
1978-03-31,800.0
1978-06-30,851.6666666666666
1978-09-30,785.6666666666666
1978-12-31,825.0
1979-03-31,756.6666666666666
1979-06-30,725.0
1979-09-30,723.6666666666666
1979-12-31,608.6666666666666
1980-03-31,535.6666666666666
1980-06-30,463.6666666666667
1980-09-30,630.3333333333334
1980-12-31,551.6666666666666
1981-03-31,511.6666666666667
1981-06-30,450.6666666666667
1981-09-30,382.3333333333333
1981-12-31,398.3333333333333
1982-03-31,369.0
1982-06-30,364.3333333333333
1982-09-30,421.0
1982-12-31,518.3333333333334
1983-03-31,580.0
1983-06-30,651.0
1983-09-30,595.3333333333334
1983-12-31,683.0
1984-03-31,676.0
1984-06-30,628.0
1984-09-30,616.0
1984-12-31,627.0
1985-03-31,666.0
1985-06-30,673.3333333333334
1985-09-30,723.3333333333334
1985-12-31,703.0
1986-03-31,780.3333333333334
1986-06-30,791.3333333333334
1986-09-30,694.0
1986-12-31,720.0
1987-03-31,718.0
1987-06-30,674.3333333333334
1987-09-30,660.3333333333334
1987-12-31,623.3333333333334
1988-03-31,639.0
1988-06-30,700.0
1988-09-30,690.0
1988-12-31,668.0
1989-03-31,636.0
1989-06-30,635.3333333333334
1989-09-30,689.0
1989-12-31,653.0
1990-03-31,595.0
1990-06-30,540.3333333333334
1990-09-30,522.0
1990-12-31,474.0
1991-03-31,463.3333333333333
1991-06-30,513.6666666666666
1991-09-30,508.0
1991-12-31,552.3333333333334
1992-03-31,622.6666666666666
1992-06-30,565.3333333333334
1992-09-30,637.6666666666666
1992-12-31,628.3333333333334
1993-03-31,600.6666666666666
1993-06-30,660.0
1993-09-30,675.3333333333334
1993-12-31,761.6666666666666
1994-03-31,684.0
1994-06-30,668.0
1994-09-30,653.6666666666666
1994-12-31,663.3333333333334
1995-03-31,600.3333333333334
1995-06-30,673.3333333333334
1995-09-30,714.6666666666666
1995-12-31,689.6666666666666
1996-03-31,734.6666666666666
1996-06-30,734.3333333333334
1996-09-30,788.6666666666666
1996-12-31,765.3333333333334
1997-03-31,820.6666666666666
1997-06-30,765.6666666666666
1997-09-30,820.0
1997-12-31,819.0
1998-03-31,858.0
1998-06-30,892.0
1998-09-30,862.0
1998-12-31,945.6666666666666
1999-03-31,862.0
1999-06-30,909.6666666666666
1999-09-30,873.0
1999-12-31,869.3333333333334
2000-03-31,876.3333333333334
2000-06-30,830.3333333333334
2000-09-30,882.3333333333334
2000-12-31,932.0
2001-03-31,946.0
2001-06-30,892.0
2001-09-30,866.3333333333334
2001-12-31,924.6666666666666
2002-03-31,917.0
2002-06-30,957.0
2002-09-30,1004.6666666666666
2002-12-31,1026.0
2003-03-31,978.0
2003-06-30,1094.3333333333333
2003-09-30,1168.3333333333333
2003-12-31,1122.0
2004-03-31,1200.0
2004-06-30,1202.3333333333333
2004-09-30,1159.0
2004-12-31,1242.0
2005-03-31,1283.3333333333333
2005-06-30,1273.3333333333333
2005-09-30,1296.0
2005-12-31,1263.0
2006-03-31,1117.0
2006-06-30,1094.3333333333333
2006-09-30,1005.3333333333334
2006-12-31,980.6666666666666
2007-03-31,850.6666666666666
2007-06-30,840.6666666666666
2007-09-30,721.0
2007-12-31,662.3333333333334
2008-03-31,585.0
2008-06-30,509.0
2008-09-30,448.3333333333333
2008-12-31,386.3333333333333
2009-03-31,349.0
2009-06-30,368.6666666666667
2009-09-30,405.0
2009-12-31,374.3333333333333
2010-03-31,354.0
2010-06-30,335.6666666666667
2010-09-30,294.0
2010-12-31,301.3333333333333
2011-03-31,292.3333333333333
2011-06-30,305.3333333333333
2011-09-30,299.6666666666667
2011-12-31,328.3333333333333
2012-03-31,351.6666666666667
2012-06-30,361.3333333333333
2012-09-30,376.3333333333333
2012-12-31,383.0
2013-03-31,445.6666666666667
2013-06-30,446.3333333333333
2013-09-30,386.3333333333333
2013-12-31,441.0
2014-03-31,422.6666666666667
2014-06-30,424.0
2014-09-30,442.6666666666667
2014-12-31,471.6666666666667
2015-03-31,511.6666666666667
2015-06-30,494.6666666666667
2015-09-30,493.3333333333333
2015-12-31,510.6666666666667
2016-03-31,518.0
2016-06-30,568.0
2016-09-30,587.0
