,value
1947-03-31,1325.0
1947-06-30,1319.0
1947-09-30,1369.0
1947-12-31,1383.0
1948-03-31,1417.0
1948-06-30,1449.0
1948-09-30,1480.0
1948-12-31,1478.0
1949-03-31,1430.0
1949-06-30,1417.0
1949-09-30,1408.0
1949-12-31,1404.0
1950-03-31,1501.0
1950-06-30,1505.0
1950-09-30,1553.0
1950-12-31,1604.0
1951-03-31,1658.0
1951-06-30,1710.0
1951-09-30,1730.0
1951-12-31,1752.0
1952-03-31,1758.0
1952-06-30,1777.0
1952-09-30,1814.0
1952-12-31,1848.0
1953-03-31,1869.0
1953-06-30,1886.0
1953-09-30,1877.0
1953-12-31,1868.0
1954-03-31,1860.0
1954-06-30,1851.0
1954-09-30,1854.0
1954-12-31,1878.0
1955-03-31,1909.0
1955-06-30,1947.0
1955-09-30,1983.0
1955-12-31,2004.0
1956-03-31,2029.0
1956-06-30,2055.0
1956-09-30,2077.0
1956-12-31,2112.0
1957-03-31,2129.0
1957-06-30,2148.0
1957-09-30,2165.0
1957-12-31,2150.0
1958-03-31,2145.0
1958-06-30,2151.0
1958-09-30,2193.0
1958-12-31,2215.0
1959-03-31,2238.0
1959-06-30,2277.0
1959-09-30,2280.0
1959-12-31,2302.0
1960-03-31,2324.0
1960-06-30,2338.0
1960-09-30,2341.0
1960-12-31,2339.0
1961-03-31,2355.0
1961-06-30,2380.0
1961-09-30,2409.0
1961-12-31,2446.0
1962-03-31,2475.0
1962-06-30,2507.0
1962-09-30,2522.0
1962-12-31,2546.0
1963-03-31,2566.0
1963-06-30,2584.0
1963-09-30,2611.0
1963-12-31,2651.0
1964-03-31,2693.0
1964-06-30,2733.0
1964-09-30,2773.0
1964-12-31,2809.0
1965-03-31,2858.0
1965-06-30,2900.0
1965-09-30,2964.0
1965-12-31,3022.0
1966-03-31,3080.0
1966-06-30,3122.0
1966-09-30,3180.0
1966-12-31,3239.0
1967-03-31,3286.0
1967-06-30,3314.0
1967-09-30,3375.0
1967-12-31,3423.0
1968-03-31,3513.0
1968-06-30,3604.0
1968-09-30,3688.0
1968-12-31,3759.0
1969-03-31,3824.0
1969-06-30,3906.0
1969-09-30,3998.0
1969-12-31,4061.0
1970-03-31,4124.0
1970-06-30,4201.0
1970-09-30,4258.0
1970-12-31,4287.0
1971-03-31,4371.0
1971-06-30,4471.0
1971-09-30,4525.0
1971-12-31,4598.0
1972-03-31,4717.0
1972-06-30,4790.0
1972-09-30,4901.0
1972-12-31,5111.0
1973-03-31,5185.0
1973-06-30,5314.0
1973-09-30,5432.0
1973-12-31,5598.0
1974-03-31,5662.0
1974-06-30,5772.0
1974-09-30,5926.0
1974-12-31,6048.0
1975-03-31,6128.0
1975-06-30,6260.0
1975-09-30,6410.0
1975-12-31,6561.0
1976-03-31,6701.0
1976-06-30,6802.0
1976-09-30,6954.0
1976-12-31,7102.0
1977-03-31,7241.0
1977-06-30,7424.0
1977-09-30,7606.0
1977-12-31,7854.0
1978-03-31,8020.0
1978-06-30,8270.0
1978-09-30,8490.0
1978-12-31,8704.0
1979-03-31,8946.0
1979-06-30,9100.0
1979-09-30,9364.0
1979-12-31,9595.0
1980-03-31,9849.0
1980-06-30,9986.0
1980-09-30,10300.0
1980-12-31,10690.0
1981-03-31,10944.0
1981-06-30,11138.0
1981-09-30,11537.0
1981-12-31,11649.0
1982-03-31,11775.0
1982-06-30,11943.0
1982-09-30,12088.0
1982-12-31,12241.0
1983-03-31,12388.0
1983-06-30,12577.0
1983-09-30,12797.0
1983-12-31,13132.0
1984-03-31,13481.0
1984-06-30,13803.0
1984-09-30,14082.0
1984-12-31,14278.0
1985-03-31,14522.0
1985-06-30,14665.0
1985-09-30,14832.0
1985-12-31,15061.0
1986-03-31,15295.0
1986-06-30,15431.0
1986-09-30,15583.0
1986-12-31,15699.0
1987-03-31,15880.0
1987-06-30,16086.0
1987-09-30,16338.0
1987-12-31,16703.0
1988-03-31,17007.0
1988-06-30,17291.0
1988-09-30,17627.0
1988-12-31,17932.0
1989-03-31,18396.0
1989-06-30,18574.0
1989-09-30,18746.0
1989-12-31,18999.0
1990-03-31,19344.0
1990-06-30,19613.0
1990-09-30,19789.0
1990-12-31,19808.0
1991-03-31,19812.0
1991-06-30,19996.0
1991-09-30,20130.0
1991-12-31,20363.0
1992-03-31,20726.0
1992-06-30,21024.0
1992-09-30,21181.0
1992-12-31,21410.0
1993-03-31,21447.0
1993-06-30,21672.0
1993-09-30,21757.0
1993-12-31,21994.0
1994-03-31,22124.0
1994-06-30,22456.0
1994-09-30,22633.0
1994-12-31,22982.0
1995-03-31,23264.0
1995-06-30,23458.0
1995-09-30,23674.0
1995-12-31,23878.0
1996-03-31,24250.0
1996-06-30,24656.0
1996-09-30,24851.0
1996-12-31,25103.0
1997-03-31,25476.0
1997-06-30,25701.0
1997-09-30,26030.0
1997-12-31,26451.0
1998-03-31,26974.0
1998-06-30,27364.0
1998-09-30,27662.0
1998-12-31,27910.0
1999-03-31,28179.0
1999-06-30,28318.0
1999-09-30,28625.0
1999-12-31,29128.0
2000-03-31,29891.0
2000-06-30,30318.0
2000-09-30,30809.0
2000-12-31,31093.0
2001-03-31,31585.0
2001-06-30,31640.0
2001-09-30,31504.0
2001-12-31,31391.0
2002-03-31,31480.0
2002-06-30,31755.0
2002-09-30,31830.0
2002-12-31,32037.0
2003-03-31,32135.0
2003-06-30,32416.0
2003-09-30,32778.0
2003-12-31,33168.0
2004-03-31,33435.0
2004-06-30,33921.0
2004-09-30,34311.0
2004-12-31,34939.0
2005-03-31,34895.0
2005-06-30,35381.0
2005-09-30,35843.0
2005-12-31,36393.0
2006-03-31,37296.0
2006-06-30,37726.0
2006-09-30,37940.0
2006-12-31,38323.0
2007-03-31,39035.0
2007-06-30,39504.0
2007-09-30,39665.0
2007-12-31,39992.0
2008-03-31,40426.0
2008-06-30,41473.0
2008-09-30,40872.0
2008-12-31,40434.0
2009-03-31,39292.0
2009-06-30,39357.0
2009-09-30,39092.0
2009-12-31,39344.0
2010-03-31,39782.0
2010-06-30,40428.0
2010-09-30,40749.0
2010-12-31,41141.0
2011-03-31,42194.0
2011-06-30,42474.0
2011-09-30,42842.0
2011-12-31,42963.0
2012-03-31,43721.0
2012-06-30,44062.0
2012-09-30,43843.0
2012-12-31,45257.0
2013-03-31,43976.0
2013-06-30,44318.0
2013-09-30,44498.0
2013-12-31,44674.0
2014-03-31,45380.0
2014-06-30,46022.0
2014-09-30,46540.0
2014-12-31,47085.0
2015-03-31,47595.0
2015-06-30,47963.0
2015-09-30,48217.0
2015-12-31,48375.0
2016-03-31,48527.0
2016-06-30,48682.0
2016-09-30,49059.0
2016-12-31,49504.0
2017-03-31,50168.0
2017-06-30,50684.0
2017-09-30,51193.0
2017-12-31,51864.0
2018-03-31,52439.0
2018-06-30,52986.0
2018-09-30,53636.0
2018-12-31,54177.0
2019-03-31,55030.0
2019-06-30,55391.0
2019-09-30,55687.0
