,value
1947-03-31,1351.397
1947-06-30,1373.88
1947-09-30,1378.358
1947-12-31,1378.796
1948-03-31,1385.667
1948-06-30,1401.789
1948-09-30,1403.859
1948-12-31,1415.063
1949-03-31,1417.353
1949-06-30,1439.077
1949-09-30,1442.341
1949-12-31,1463.488
1950-03-31,1487.854
1950-06-30,1512.357
1950-09-30,1590.019
1950-12-31,1542.087
1951-03-31,1579.375
1951-06-30,1534.744
1951-09-30,1552.624
1951-12-31,1561.67
1952-03-31,1565.288
1952-06-30,1595.941
1952-09-30,1603.596
1952-12-31,1660.168
1953-03-31,1679.665
1953-06-30,1689.777
1953-09-30,1685.752
1953-12-31,1674.449
1954-03-31,1680.625
1954-06-30,1702.449
1954-09-30,1725.489
1954-12-31,1761.703
1955-03-31,1801.231
1955-06-30,1835.737
1955-09-30,1858.411
1955-12-31,1881.748
1956-03-31,1884.805
1956-06-30,1891.074
1956-09-30,1895.35
1956-12-31,1921.479
1957-03-31,1934.843
1957-06-30,1938.216
1957-09-30,1953.532
1957-12-31,1954.346
1958-03-31,1927.309
1958-06-30,1943.243
1958-09-30,1975.484
1958-12-31,2002.318
1959-03-31,2039.017
1959-06-30,2070.508
1959-09-30,2092.138
1959-12-31,2094.495
1960-03-31,2114.532
1960-06-30,2141.205
1960-09-30,2132.646
1960-12-31,2135.408
1961-03-31,2134.615
1961-06-30,2166.382
1961-09-30,2176.916
1961-12-31,2220.704
1962-03-31,2244.227
1962-06-30,2271.817
1962-09-30,2290.126
1962-12-31,2322.53
1963-03-31,2338.799
1963-06-30,2360.869
1963-09-30,2392.896
1963-12-31,2412.836
1964-03-31,2460.191
1964-06-30,2503.709
1964-09-30,2549.958
1964-12-31,2557.236
1965-03-31,2614.265
1965-06-30,2643.097
1965-09-30,2688.512
1965-12-31,2764.094
1966-03-31,2804.899
1966-06-30,2812.086
1966-09-30,2844.198
1966-12-31,2856.047
1967-03-31,2872.504
1967-06-30,2911.776
1967-09-30,2926.685
1967-12-31,2944.594
1968-03-31,3015.162
1968-06-30,3061.075
1968-09-30,3118.445
1968-12-31,3132.511
1969-03-31,3167.245
1969-06-30,3187.677
1969-09-30,3203.218
1969-12-31,3228.82
1970-03-31,3248.853
1970-06-30,3263.571
1970-09-30,3292.183
1970-12-31,3283.245
1971-03-31,3346.268
1971-06-30,3377.022
1971-09-30,3403.947
1971-12-31,3460.427
1972-03-31,3506.098
1972-06-30,3572.842
1972-09-30,3627.904
1972-12-31,3713.038
1973-03-31,3780.829
1973-06-30,3779.125
1973-09-30,3792.426
1973-12-31,3781.115
1974-03-31,3747.286
1974-06-30,3760.779
1974-09-30,3776.934
1974-12-31,3721.726
1975-03-31,3752.942
1975-06-30,3814.672
1975-09-30,3868.889
1975-12-31,3910.492
1976-03-31,3988.677
1976-06-30,4025.375
1976-09-30,4067.757
1976-12-31,4120.536
1977-03-31,4169.104
1977-06-30,4191.711
1977-09-30,4231.345
1977-12-31,4294.965
1978-03-31,4319.094
1978-06-30,4411.431
1978-09-30,4429.955
1978-12-31,4465.702
1979-03-31,4488.83
1979-06-30,4485.916
1979-09-30,4529.568
1979-12-31,4540.839
1980-03-31,4534.348
1980-06-30,4432.231
1980-09-30,4480.849
1980-12-31,4541.39
1981-03-31,4556.603
1981-06-30,4556.934
1981-09-30,4578.013
1981-12-31,4546.699
1982-03-31,4580.19
1982-06-30,4594.142
1982-09-30,4624.939
1982-12-31,4705.953
1983-03-31,4752.481
1983-06-30,4849.254
1983-09-30,4936.211
1983-12-31,5014.874
1984-03-31,5056.492
1984-06-30,5127.332
1984-09-30,5165.357
1984-12-31,5232.266
1985-03-31,5321.159
1985-06-30,5370.011
1985-09-30,5472.014
1985-12-31,5483.866
1986-03-31,5531.807
1986-06-30,5592.08
1986-09-30,5690.971
1986-12-31,5725.812
1987-03-31,5731.226
1987-06-30,5809.376
1987-09-30,5875.641
1987-12-31,5888.065
1988-03-31,5992.101
1988-06-30,6036.355
1988-09-30,6090.001
1988-12-31,6159.246
1989-03-31,6187.816
