,value
1959-03-31,176045.33333333334
1959-06-30,176726.66666666666
1959-09-30,177480.66666666666
1959-12-31,178267.66666666666
1960-03-31,179319.33333333334
1960-06-30,180401.0
1960-09-30,181301.0
1960-12-31,182019.33333333334
1961-03-31,182634.0
1961-06-30,183337.33333333334
1961-09-30,184103.33333333334
1961-12-31,184894.33333333334
1962-03-31,185553.33333333334
1962-06-30,186202.66666666666
1962-09-30,186926.33333333334
1962-12-31,187679.66666666666
1963-03-31,188299.0
1963-06-30,188906.33333333334
1963-09-30,189631.0
1963-12-31,190362.0
1964-03-31,190954.0
1964-06-30,191560.33333333334
1964-09-30,192256.0
1964-12-31,192937.66666666666
1965-03-31,193466.66666666666
1965-06-30,193994.0
1965-09-30,194646.66666666666
1965-12-31,195278.66666666666
1966-03-31,195763.0
1966-06-30,196276.66666666666
1966-09-30,196876.66666666666
1966-12-31,197480.66666666666
1967-03-31,197967.0
1967-06-30,198455.33333333334
1967-09-30,199012.0
1967-12-31,199572.0
1968-03-31,199994.66666666666
1968-06-30,200451.66666666666
1968-09-30,200997.33333333334
1968-12-31,201537.66666666666
1969-03-31,201955.0
1969-06-30,202419.0
1969-09-30,202985.66666666666
1969-12-31,203583.66666666666
1970-03-31,204085.66666666666
1970-06-30,204721.33333333334
1970-09-30,205418.66666666666
1970-12-31,206129.66666666666
1971-03-31,206763.0
1971-06-30,207362.0
1971-09-30,207999.66666666666
1971-12-31,208642.33333333334
1972-03-31,209141.66666666666
1972-06-30,209637.33333333334
1972-09-30,210180.66666666666
1972-12-31,210736.66666666666
1973-03-31,211192.33333333334
1973-06-30,211663.0
1973-09-30,212191.33333333334
1973-12-31,212708.0
1974-03-31,213144.0
1974-06-30,213602.33333333334
1974-09-30,214147.0
1974-12-31,214699.66666666666
1975-03-31,215135.33333333334
1975-06-30,215651.66666666666
1975-09-30,216289.33333333334
1975-12-31,216847.66666666666
1976-03-31,217314.0
1976-06-30,217776.0
1976-09-30,218337.66666666666
1976-12-31,218917.33333333334
1977-03-31,219426.66666666666
1977-06-30,219956.0
1977-09-30,220572.66666666666
1977-12-31,221201.0
1978-03-31,221718.66666666666
1978-06-30,222281.33333333334
1978-09-30,222932.66666666666
1978-12-31,223583.0
1979-03-31,224152.0
1979-06-30,224737.0
