,value
1947-03-31,22.53333333333333
1947-06-30,23.233333333333334
1947-09-30,23.733333333333334
1947-12-31,24.566666666666666
1948-03-31,25.333333333333332
1948-06-30,25.666666666666668
1948-09-30,26.53333333333333
1948-12-31,26.599999999999998
1949-03-31,26.233333333333334
1949-06-30,25.633333333333336
1949-09-30,25.03333333333333
1949-12-31,25.2
1950-03-31,25.8
1950-06-30,26.566666666666666
1950-09-30,27.96666666666667
1950-12-31,29.233333333333334
1951-03-31,30.166666666666668
1951-06-30,30.133333333333336
1951-09-30,29.766666666666666
1951-12-31,29.599999999999998
1952-03-31,29.5
1952-06-30,29.53333333333333
1952-09-30,29.633333333333336
1952-12-31,29.633333333333336
1953-03-31,29.7
1953-06-30,30.066666666666666
1953-09-30,30.233333333333334
1953-12-31,29.933333333333334
1954-03-31,29.833333333333332
1954-06-30,29.633333333333336
1954-09-30,30.233333333333334
1954-12-31,30.46666666666667
1955-03-31,30.633333333333336
1955-06-30,30.96666666666667
1955-09-30,31.833333333333332
1955-12-31,32.1
1956-03-31,32.46666666666667
1956-06-30,32.733333333333334
1956-09-30,32.800000000000004
1956-12-31,32.699999999999996
1957-03-31,32.6
1957-06-30,32.7
1957-09-30,32.800000000000004
1957-12-31,32.53333333333333
1958-03-31,32.5
1958-06-30,32.333333333333336
1958-09-30,32.699999999999996
1958-12-31,33.0
1959-03-31,33.266666666666666
1959-06-30,33.9
1959-09-30,33.766666666666666
1959-12-31,33.7
1960-03-31,33.733333333333334
1960-06-30,33.43333333333334
1960-09-30,32.9
1960-12-31,32.56666666666667
1961-03-31,32.5
1961-06-30,32.666666666666664
1961-09-30,32.53333333333333
1961-12-31,32.4
1962-03-31,32.5
1962-06-30,32.56666666666667
1962-09-30,32.43333333333333
1962-12-31,32.333333333333336
1963-03-31,32.266666666666666
1963-06-30,32.36666666666667
1963-09-30,32.800000000000004
1963-12-31,32.6
1964-03-31,32.699999999999996
1964-06-30,32.9
1964-09-30,32.9
1964-12-31,32.9
1965-03-31,33.03333333333333
1965-06-30,33.166666666666664
1965-09-30,33.36666666666667
1965-12-31,33.43333333333333
1966-03-31,33.833333333333336
1966-06-30,34.56666666666667
1966-09-30,34.46666666666667
1966-12-31,34.333333333333336
1967-03-31,34.46666666666667
1967-06-30,34.46666666666667
1967-09-30,34.833333333333336
1967-12-31,35.06666666666667
1968-03-31,35.86666666666667
1968-06-30,36.43333333333333
1968-09-30,36.800000000000004
1968-12-31,37.6
1969-03-31,39.43333333333334
1969-06-30,39.1
1969-09-30,38.0
1969-12-31,38.43333333333333
1970-03-31,38.733333333333334
1970-06-30,39.06666666666667
1970-09-30,39.233333333333334
1970-12-31,39.1
1971-03-31,40.0
1971-06-30,41.13333333333333
1971-09-30,42.46666666666667
1971-12-31,42.43333333333333
1972-03-31,43.1
1972-06-30,43.800000000000004
1972-09-30,44.333333333333336
1972-12-31,44.56666666666666
1973-03-31,46.03333333333333
1973-06-30,48.6
1973-09-30,48.300000000000004
1973-12-31,49.300000000000004
1974-03-31,51.43333333333334
1974-06-30,55.6
1974-09-30,58.333333333333336
1974-12-31,58.0
1975-03-31,59.333333333333336
1975-06-30,60.5
1975-09-30,60.6
1975-12-31,61.23333333333333
1976-03-31,63.199999999999996
1976-06-30,64.43333333333334
1976-09-30,65.93333333333334
1976-12-31,67.26666666666667
1977-03-31,68.63333333333334
1977-06-30,70.0
1977-09-30,72.39999999999999
1977-12-31,73.16666666666667
1978-03-31,76.10000000000001
1978-06-30,78.60000000000001
1978-09-30,80.36666666666666
1978-12-31,81.93333333333334
1979-03-31,84.76666666666667
1979-06-30,86.86666666666667
1979-09-30,88.33333333333333
1979-12-31,89.16666666666667
1980-03-31,91.06666666666666
1980-06-30,91.23333333333333
1980-09-30,93.26666666666667
1980-12-31,94.43333333333334
1981-03-31,96.39999999999999
1981-06-30,98.76666666666667
1981-09-30,99.0
1981-12-31,98.8
1982-03-31,99.63333333333333
1982-06-30,100.23333333333333
1982-09-30,100.2
1982-12-31,99.96666666666665
1983-03-31,101.83333333333333
1983-06-30,103.16666666666667
1983-09-30,104.03333333333335
1983-12-31,104.39999999999999
1984-03-31,105.76666666666667
1984-06-30,106.39999999999999
1984-09-30,106.66666666666667
1984-12-31,106.7
1985-03-31,107.06666666666666
1985-06-30,107.86666666666667
1985-09-30,107.83333333333333
1985-12-31,107.46666666666665
1986-03-31,106.76666666666667
1986-06-30,107.56666666666666
1986-09-30,107.53333333333335
1986-12-31,107.5
1987-03-31,107.86666666666667
1987-06-30,108.39999999999999
1987-09-30,109.8
1987-12-31,112.10000000000001
1988-03-31,114.03333333333335
1988-06-30,115.13333333333333
1988-09-30,116.10000000000001
1988-12-31,117.36666666666667
1989-03-31,118.60000000000001
1989-06-30,119.5
1989-09-30,119.73333333333333
1989-12-31,120.06666666666666
1990-03-31,119.23333333333333
1990-06-30,119.89999999999999
1990-09-30,119.66666666666667
1990-12-31,119.66666666666667
1991-03-31,119.96666666666665
1991-06-30,120.7
1991-09-30,120.7
1991-12-31,120.16666666666667
1992-03-31,121.73333333333333
1992-06-30,122.7
1992-09-30,122.60000000000001
1992-12-31,123.0
1993-03-31,127.26666666666667
1993-06-30,128.56666666666666
1993-09-30,128.23333333333332
1993-12-31,130.33333333333334
1994-03-31,132.53333333333333
1994-06-30,132.6
1994-09-30,134.16666666666666
1994-12-31,136.1
1995-03-31,138.0
1995-06-30,139.13333333333333
1995-09-30,139.70000000000002
1995-12-31,138.53333333333333
1996-03-31,137.73333333333332
1996-06-30,139.26666666666665
1996-09-30,140.5666666666667
1996-12-31,140.96666666666667
1997-03-31,141.66666666666666
1997-06-30,142.56666666666666
1997-09-30,142.5
1997-12-31,141.5666666666667
1998-03-31,141.29999999999998
1998-06-30,141.53333333333333
1998-09-30,142.1
1998-12-31,140.6
1999-03-31,141.06666666666666
1999-06-30,142.6
1999-09-30,144.43333333333334
1999-12-31,142.93333333333334
2000-03-31,144.73333333333332
2000-06-30,145.16666666666666
2000-09-30,143.83333333333334
2000-12-31,142.83333333333334
2001-03-31,142.26666666666668
2001-06-30,143.66666666666666
2001-09-30,143.23333333333335
2001-12-31,142.03333333333333
2002-03-31,142.46666666666667
2002-06-30,143.86666666666667
2002-09-30,145.06666666666666
2002-12-31,144.63333333333333
2003-03-31,144.9333333333333
2003-06-30,145.93333333333334
2003-09-30,147.73333333333332
2003-12-31,149.83333333333334
2004-03-31,153.29999999999998
2004-06-30,161.6
2004-09-30,165.1
2004-12-31,165.9
2005-03-31,169.66666666666666
2005-06-30,168.63333333333333
2005-09-30,167.33333333333334
2005-12-31,172.6
2006-03-31,177.73333333333335
2006-06-30,179.86666666666667
2006-09-30,182.73333333333335
2006-12-31,180.63333333333335
2007-03-31,181.70000000000002
2007-06-30,183.9
2007-09-30,183.83333333333334
2007-12-31,183.26666666666665
2008-03-31,185.9333333333333
2008-06-30,195.70000000000002
2008-09-30,205.4
2008-12-31,198.73333333333335
2009-03-31,191.5666666666667
2009-06-30,187.36666666666667
2009-09-30,188.33333333333334
2009-12-31,189.4333333333333
2010-03-31,192.0666666666667
2010-06-30,197.53333333333333
2010-09-30,194.53333333333333
2010-12-31,193.86666666666667
2011-03-31,197.9
2011-06-30,201.53333333333333
2011-09-30,202.70000000000002
2011-12-31,202.36666666666665
2012-03-31,204.9
2012-06-30,206.46666666666667
2012-09-30,206.1
2012-12-31,205.83333333333334
2013-03-31,209.1
2013-06-30,209.66666666666666
2013-09-30,208.70000000000002
2013-12-31,209.63333333333335
2014-03-31,212.6
2014-06-30,214.13333333333333
2014-09-30,215.33333333333334
2014-12-31,215.73333333333335
2015-03-31,215.36666666666667
2015-06-30,213.96666666666667
2015-09-30,213.16666666666666
2015-12-31,211.66666666666666
2016-03-31,211.4333333333333
2016-06-30,213.66666666666666
2016-09-30,215.53333333333333
2016-12-31,214.9333333333333
2017-03-31,218.6
2017-06-30,221.53333333333333
2017-09-30,222.46666666666667
2017-12-31,223.96666666666667
2018-03-31,228.6
2018-06-30,236.13333333333333
2018-09-30,239.66666666666666
2018-12-31,238.6
2019-03-31,238.23333333333335
2019-06-30,236.9333333333333
2019-09-30,234.79999999999998
2019-12-31,232.9333333333333
2020-03-31,234.76666666666665
2020-06-30,234.13333333333335
2020-09-30,241.6
2020-12-31,246.23333333333335
2021-03-31,265.90000000000003
2021-06-30,304.46666666666664
2021-09-30,314.587
2021-12-31,328.69733333333335
2022-03-31,345.059
2022-06-30,348.867
2022-09-30,342.00233333333335
2022-12-31,330.2046666666667
2023-03-31,329.86633333333333
2023-06-30,336.05833333333334
2023-09-30,333.468
2023-12-31,327.7436666666667
2024-03-31,334.3676666666667
2024-06-30,329.29133333333334
2024-09-30,324.76866666666666
2024-12-31,325.65933333333334
2025-03-31,330.145
2025-06-30,339.9626666666666
