,value
1947-03-31,2182.681
1947-06-30,2176.892
1947-09-30,2172.432
1947-12-31,2206.452
1948-03-31,2239.682
1948-06-30,2276.69
1948-09-30,2289.77
1948-12-31,2292.364
1949-03-31,2260.807
1949-06-30,2253.128
1949-09-30,2276.424
1949-12-31,2257.352
1950-03-31,2346.104
1950-06-30,2417.682
1950-09-30,2511.127
1950-12-31,2559.214
1951-03-31,2593.967
1951-06-30,2638.898
1951-09-30,2693.259
1951-12-31,2699.156
1952-03-31,2727.954
1952-06-30,2733.8
1952-09-30,2753.517
1952-12-31,2843.941
1953-03-31,2896.811
1953-06-30,2919.206
1953-09-30,2902.785
1953-12-31,2858.845
1954-03-31,2845.192
1954-06-30,2848.305
1954-09-30,2880.482
1954-12-31,2936.852
1955-03-31,3020.746
1955-06-30,3069.91
1955-09-30,3111.379
1955-12-31,3130.068
1956-03-31,3117.922
1956-06-30,3143.694
1956-09-30,3140.874
1956-12-31,3192.57
1957-03-31,3213.011
1957-06-30,3205.97
1957-09-30,3237.386
1957-12-31,3203.894
1958-03-31,3120.724
1958-06-30,3141.224
1958-09-30,3213.884
1958-12-31,3289.032
1959-03-31,3352.129
1959-06-30,3427.667
1959-09-30,3430.057
1959-12-31,3439.832
1960-03-31,3517.181
1960-06-30,3498.246
1960-09-30,3515.385
1960-12-31,3470.278
1961-03-31,3493.703
1961-06-30,3553.021
1961-09-30,3621.252
1961-12-31,3692.289
1962-03-31,3758.147
1962-06-30,3792.149
1962-09-30,3838.776
1962-12-31,3851.421
1963-03-31,3893.482
1963-06-30,3937.183
1963-09-30,4023.755
1963-12-31,4050.147
1964-03-31,4135.553
1964-06-30,4180.592
1964-09-30,4245.918
1964-12-31,4259.046
1965-03-31,4362.111
1965-06-30,4417.225
1965-09-30,4515.427
1965-12-31,4619.458
1966-03-31,4731.888
1966-06-30,4748.046
1966-09-30,4788.254
1966-12-31,4827.537
1967-03-31,4870.299
1967-06-30,4873.287
1967-09-30,4919.392
1967-12-31,4956.477
1968-03-31,5057.553
1968-06-30,5142.033
1968-09-30,5181.859
1968-12-31,5202.212
1969-03-31,5283.597
1969-06-30,5299.625
1969-09-30,5334.6
1969-12-31,5308.556
1970-03-31,5300.652
1970-06-30,5308.164
1970-09-30,5357.077
1970-12-31,5299.672
1971-03-31,5443.619
1971-06-30,5473.059
1971-09-30,5518.072
1971-12-31,5531.032
1972-03-31,5632.649
1972-06-30,5760.47
1972-09-30,5814.854
1972-12-31,5912.22
1973-03-31,6058.544
1973-06-30,6124.506
1973-09-30,6092.301
1973-12-31,6150.131
1974-03-31,6097.258
1974-06-30,6111.751
1974-09-30,6053.978
1974-12-31,6030.464
1975-03-31,5957.035
1975-06-30,5999.61
1975-09-30,6102.326
1975-12-31,6184.53
1976-03-31,6323.649
1976-06-30,6370.025
1976-09-30,6404.895
1976-12-31,6451.177
1977-03-31,6527.703
1977-06-30,6654.466
1977-09-30,6774.457
1977-12-31,6774.592
1978-03-31,6796.26
1978-06-30,7058.92
1978-09-30,7129.915
1978-12-31,7225.75
1979-03-31,7238.727
1979-06-30,7246.454
1979-09-30,7300.281
1979-12-31,7318.535
1980-03-31,7341.557
1980-06-30,7190.289
1980-09-30,7181.743
1980-12-31,7315.677
1981-03-31,7459.022
1981-06-30,7403.745
1981-09-30,7492.405
1981-12-31,7410.768
1982-03-31,7295.631
1982-06-30,7328.912
1982-09-30,7300.896
1982-12-31,7303.817
1983-03-31,7400.066
1983-06-30,7568.456
1983-09-30,7719.746
1983-12-31,7880.794
1984-03-31,8034.847
1984-06-30,8173.67
1984-09-30,8252.465
1984-12-31,8320.199
1985-03-31,8400.82
1985-06-30,8474.787
1985-09-30,8604.22
1985-12-31,8668.188
1986-03-31,8749.127
1986-06-30,8788.524
1986-09-30,8872.601
1986-12-31,8920.193
1987-03-31,8986.367
1987-06-30,9083.256
1987-09-30,9162.024
1987-12-31,9319.332
1988-03-31,9367.502
1988-06-30,9490.594
1988-09-30,9546.206
1988-12-31,9673.405
1989-03-31,9771.725
1989-06-30,9846.293
1989-09-30,9919.228
1989-12-31,9938.767
1990-03-31,10047.386
1990-06-30,10083.855
1990-09-30,10090.569
1990-12-31,9998.704
1991-03-31,9951.916
1991-06-30,10029.51
1991-09-30,10080.195
1991-12-31,10115.329
1992-03-31,10236.435
1992-06-30,10347.429
1992-09-30,10449.673
1992-12-31,10558.648
1993-03-31,10576.275
1993-06-30,10637.847
1993-09-30,10688.606
1993-12-31,10833.987
1994-03-31,10939.116
1994-06-30,11087.361
1994-09-30,11152.176
1994-12-31,11279.932
1995-03-31,11319.951
1995-06-30,11353.721
1995-09-30,11450.31
1995-12-31,11528.067
1996-03-31,11614.418
1996-06-30,11808.14
1996-09-30,11914.063
1996-12-31,12037.775
1997-03-31,12115.472
1997-06-30,12317.221
1997-09-30,12471.01
1997-12-31,12577.495
1998-03-31,12703.742
1998-06-30,12821.339
1998-09-30,12982.752
1998-12-31,13191.67
1999-03-31,13315.597
1999-06-30,13426.748
1999-09-30,13604.771
1999-12-31,13827.98
2000-03-31,13878.147
2000-06-30,14130.908
2000-09-30,14145.312
2000-12-31,14229.765
2001-03-31,14183.12
2001-06-30,14271.694
2001-09-30,14214.516
2001-12-31,14253.574
2002-03-31,14372.785
2002-06-30,14460.848
2002-09-30,14519.633
2002-12-31,14537.58
2003-03-31,14614.141
2003-06-30,14743.567
2003-09-30,14988.782
2003-12-31,15162.76
2004-03-31,15248.68
2004-06-30,15366.85
2004-09-30,15512.619
2004-12-31,15670.88
2005-03-31,15844.727
2005-06-30,15922.782
2005-09-30,16047.587
2005-12-31,16136.734
2006-03-31,16353.835
2006-06-30,16396.151
2006-09-30,16420.738
2006-12-31,16561.866
2007-03-31,16611.69
2007-06-30,16713.314
2007-09-30,16809.587
2007-12-31,16915.191
2008-03-31,16843.003
2008-06-30,16943.291
2008-09-30,16854.295
2008-12-31,16485.35
2009-03-31,16298.262
2009-06-30,16269.145
2009-09-30,16326.281
2009-12-31,16502.754
2010-03-31,16582.71
2010-06-30,16743.162
2010-09-30,16872.266
2010-12-31,16960.864
2011-03-31,16920.632
2011-06-30,17035.114
2011-09-30,17031.313
2011-12-31,17222.583
2012-03-31,17367.01
2012-06-30,17444.525
2012-09-30,17469.65
2012-12-31,17489.852
2013-03-31,17662.4
2013-06-30,17709.671
2013-09-30,17860.45
2013-12-31,18016.147
2014-03-31,17953.974
2014-06-30,18185.911
2014-09-30,18406.941
2014-12-31,18500.031
2015-03-31,18666.621
2015-06-30,18782.243
2015-09-30,18857.418
2015-12-31,18892.206
2016-03-31,19001.69
2016-06-30,19062.709
2016-09-30,19197.938
2016-12-31,19304.352
2017-03-31,19398.343
2017-06-30,19506.949
2017-09-30,19660.766
2017-12-31,19882.352
2018-03-31,20044.077
2018-06-30,20150.476
2018-09-30,20276.154
2018-12-31,20304.874
2019-03-31,20431.641
2019-06-30,20602.275
2019-09-30,20843.322
2019-12-31,20985.448
2020-03-31,20709.212
2020-06-30,19077.992
2020-09-30,20558.879
2020-12-31,20791.917
2021-03-31,21082.134
2021-06-30,21440.929
2021-09-30,21617.828
2021-12-31,21988.737
2022-03-31,21932.71
2022-06-30,21967.045
2022-09-30,22125.625
2022-12-31,22278.345
2023-03-31,22439.607
2023-06-30,22580.499
2023-09-30,22840.989
2023-12-31,23033.78
2024-03-31,23082.119
2024-06-30,23286.508
2024-09-30,23478.57
2024-12-31,23586.542
2025-03-31,23548.21
2025-06-30,23770.976
2025-09-30,24026.834
2025-12-31,24065.956
