,value
2016-03-31,2053.9375
2016-06-30,2075.1315625
2016-09-30,2162.0568749999998
2016-12-31,2184.8785714285714
2017-03-31,2325.9279032258064
2017-06-30,2397.9709523809524
2017-09-30,2467.1746031746034
2017-12-31,2603.2773015873017
2018-03-31,2733.476721311475
2018-06-30,2703.13125
2018-09-30,2849.6014285714286
2018-12-31,2698.9261904761906
2019-03-31,2721.004426229508
2019-06-30,2882.3277777777776
2019-09-30,2957.8528125
2019-12-31,3082.755625
2020-03-31,3055.869193548387
2020-06-30,2931.687619047619
2020-09-30,3319.8340625
2020-12-31,3554.5015625
2021-03-31,3865.7068852459015
2021-06-30,4183.62634920635
2021-09-30,4421.670625
2021-12-31,4602.1089062500005
2022-03-31,4463.855483870967
2022-06-30,4105.667096774193
2022-09-30,3980.35109375
2022-12-31,3851.9734920634924
2023-03-31,4000.064516129032
2023-06-30,4206.072903225806
2023-09-30,4458.13746031746
2023-12-31,4464.907619047619
2024-03-31,4992.540983606557
2024-06-30,5246.626507936508
2024-09-30,5543.46921875
2024-12-31,5907.04296875
2025-03-31,5894.8178333333335
2025-06-30,5732.060483870968
2025-09-30,6427.73875
2025-12-31,6777.5671875
2026-03-31,6850.925535714286
