,value
1948-03-31,3.733333333333333
1948-06-30,3.6666666666666665
1948-09-30,3.766666666666667
1948-12-31,3.8333333333333335
1949-03-31,4.666666666666667
1949-06-30,5.866666666666667
1949-09-30,6.7
1949-12-31,6.966666666666666
1950-03-31,6.3999999999999995
1950-06-30,5.566666666666666
1950-09-30,4.633333333333334
1950-12-31,4.233333333333333
1951-03-31,3.5
1951-06-30,3.1
1951-09-30,3.1666666666666665
1951-12-31,3.3666666666666667
1952-03-31,3.0666666666666664
1952-06-30,2.966666666666667
1952-09-30,3.233333333333333
1952-12-31,2.8333333333333335
1953-03-31,2.6999999999999997
1953-06-30,2.566666666666667
1953-09-30,2.733333333333333
1953-12-31,3.6999999999999997
1954-03-31,5.266666666666667
1954-06-30,5.8
1954-09-30,5.966666666666666
1954-12-31,5.333333333333333
1955-03-31,4.733333333333333
1955-06-30,4.3999999999999995
1955-09-30,4.1000000000000005
1955-12-31,4.233333333333333
1956-03-31,4.033333333333333
1956-06-30,4.2
1956-09-30,4.133333333333334
1956-12-31,4.133333333333334
1957-03-31,3.9333333333333336
1957-06-30,4.1000000000000005
1957-09-30,4.233333333333333
1957-12-31,4.933333333333334
1958-03-31,6.3
1958-06-30,7.366666666666667
1958-09-30,7.333333333333333
1958-12-31,6.366666666666667
1959-03-31,5.833333333333333
1959-06-30,5.1000000000000005
1959-09-30,5.266666666666667
1959-12-31,5.6000000000000005
1960-03-31,5.133333333333334
1960-06-30,5.233333333333333
1960-09-30,5.533333333333334
1960-12-31,6.266666666666666
1961-03-31,6.8
1961-06-30,7.0
1961-09-30,6.766666666666667
1961-12-31,6.2
1962-03-31,5.633333333333333
1962-06-30,5.533333333333334
1962-09-30,5.566666666666666
1962-12-31,5.533333333333334
1963-03-31,5.766666666666667
1963-06-30,5.733333333333333
1963-09-30,5.5
1963-12-31,5.566666666666666
1964-03-31,5.466666666666666
1964-06-30,5.2
1964-09-30,5.0
1964-12-31,4.966666666666666
1965-03-31,4.8999999999999995
1965-06-30,4.666666666666667
1965-09-30,4.366666666666667
1965-12-31,4.1000000000000005
1966-03-31,3.8666666666666667
1966-06-30,3.8333333333333335
1966-09-30,3.766666666666667
1966-12-31,3.6999999999999997
1967-03-31,3.8333333333333335
1967-06-30,3.8333333333333335
1967-09-30,3.7999999999999994
1967-12-31,3.9
1968-03-31,3.733333333333333
1968-06-30,3.5666666666666664
1968-09-30,3.533333333333333
1968-12-31,3.4
1969-03-31,3.4
1969-06-30,3.4333333333333336
1969-09-30,3.5666666666666664
1969-12-31,3.5666666666666664
1970-03-31,4.166666666666667
1970-06-30,4.766666666666667
1970-09-30,5.166666666666667
1970-12-31,5.833333333333333
1971-03-31,5.933333333333334
1971-06-30,5.900000000000001
1971-09-30,6.033333333333334
1971-12-31,5.933333333333334
1972-03-31,5.766666666666667
1972-06-30,5.7
1972-09-30,5.566666666666666
1972-12-31,5.366666666666667
1973-03-31,4.933333333333334
1973-06-30,4.933333333333334
1973-09-30,4.8
1973-12-31,4.766666666666667
1974-03-31,5.133333333333333
1974-06-30,5.2
1974-09-30,5.633333333333333
1974-12-31,6.6000000000000005
1975-03-31,8.266666666666666
1975-06-30,8.866666666666667
1975-09-30,8.466666666666667
1975-12-31,8.299999999999999
1976-03-31,7.733333333333333
1976-06-30,7.566666666666666
