experiment_id	trial_id	accepted_commit	model_class	champion_eligible	gof_composite	gof_insample	gof_val_near	gof_val_far	gof_diag	rmse	mae	theil_u	n_params	status	description	artifact_dir	error_summary
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_001		ARIMAX-GARCH	True	-0.5155490862678251	-1.7020455895991913	0.17103627103059604	0.0028730649117439944	0.5	30.2052030424554	21.366412467631367	0.828963728969404	6	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_001	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_002		ARIMAX-GARCH	True	-0.5474808593202821	-1.8285963457964711	0.17017381343451665	-0.03477905670792736	0.4444444444444444	30.23662867170153	21.377703366030335	0.8298261865654833	7	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_002	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_003		ARIMAX-GARCH	True	-0.5320822355936361	-1.8439055851729913	0.19821160407732052	-0.027639396445003905	0.4444444444444444	29.215007182567593	21.194262546834214	0.8017883959226795	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, unemployment_rate	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_003	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_004		ARIMAX-GARCH	True	-0.5455124304896587	-1.8459151827368023	0.1855331405163484	-0.029120724212412297	0.4444444444444444	29.67697620816252	20.900761739205823	0.8144668594836516	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, per_capita_income	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_004	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_005		ARIMAX-GARCH	True	-0.5481561205836788	-1.8307319782318028	0.1721063473472817	-0.03361531308955801	0.4444444444444444	30.166212346859346	21.138219576253004	0.8278936526527183	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, real_gdp	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_005	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_006		ARIMAX-GARCH	True	-0.5537030183408695	-1.8233618245010965	0.14915956509067285	-0.05455136711820585	0.4444444444444444	31.002331217939005	22.32131516875769	0.8508404349093271	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, housing_starts	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_006	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_007		ARIMAX-GARCH	True	-0.551581885863726	-1.841149715091115	0.16942638093666507	-0.03499091739529625	0.4444444444444444	30.263863096525167	21.40593060491644	0.8305736190633349	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, building_permits	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_007	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_008		ARIMAX-GARCH	True	-0.5391739388174923	-1.7793780287560383	0.1794506319527719	-0.022399680109013387	0.3333333333333333	29.89860641917153	21.07005378144447	0.8205493680472281	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, term_spread	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_008	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_009		ARIMAX-GARCH	True	-0.527187119864261	-1.675892932288447	0.16562978896253622	-0.01976120775033463	0.4444444444444444	30.402200670824694	20.86663367456093	0.8343702110374638	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, housing_inventory	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_009	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_010		ARIMAX-GARCH	True	-0.5819191896064962	-1.9644593896393765	0.17436664444879746	-0.026743565151117865	0.4444444444444444	30.083853215208997	21.019265751996492	0.8256333555512025	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, consumer_confidence	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_010	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_011		ARIMAX-GARCH	True	-0.5406203221613954	-1.8777776256497893	0.20020564406314167	-0.04030029730059059	0.5555555555555556	29.142349742269953	19.936117996260545	0.7997943559368583	8	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, fed_funds	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_011	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_012		ARIMAX-GARCH	True	-0.5133030482695211	-1.8475798092828541	0.23455254670454329	-0.014844958960223309	0.4444444444444444	27.89084122397473	20.380265601337122	0.7654474532954567	9	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, unemployment_rate, per_capita_income	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_012	
20260325_arimax_garch_60_volaware	20260325_arimax_garch_60_volaware_013		ARIMAX-GARCH	True	-0.5571000456669417	-1.8596626580228497	0.17155105258504477	-0.03381975296980788	0.4444444444444444	30.186445790682797	21.17293385003578	0.8284489474149552	9	ok	ARIMAX-GARCH(1, 1, 0) trend=t GARCH(1,1) dist=normal with mortgage_rate, real_gdp, building_permits	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260325_arimax_garch_60_volaware/runs/20260325_arimax_garch_60_volaware_013	
