date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,8.287253456515117e+51,,,,
2025-06-30,,2.429211191358378e+52,,,,
2025-09-30,,7.120654681535775e+52,,,,
2025-12-31,,2.087250514654701e+53,,,,
2026-03-31,,6.118278312559157e+53,,,,
2026-06-30,,1.7934277293075387e+54,,,,
2026-09-30,,5.2570067197610743e+54,,,,
2026-12-31,,1.540966452118129e+55,,,,
2027-03-31,,4.516976547942201e+55,,,,
2027-06-30,,1.3240442130725741e+56,,,,
2027-09-30,,3.8811206114621703e+56,,,,
2027-12-31,,1.137658172740403e+57,,,,
2028-03-31,,3.334774276740221e+57,,,,
2028-06-30,,9.775097426690619e+57,,,,
2028-09-30,,2.865337254391239e+58,,,,
2028-12-31,,8.399054477947945e+58,,,,
2029-03-31,,2.461983000968764e+59,,,,
2029-06-30,,7.216717444771319e+59,,,,
2029-09-30,,2.115409028298464e+60,,,,
2029-12-31,,6.200818296203159e+60,,,,
2030-03-31,,1.817622361830201e+61,,,,
2030-06-30,,5.32792752893296e+61,,,,
2030-09-30,,1.5617552000723855e+62,,,,
2030-12-31,,4.577913816785002e+62,,,,
2031-03-31,,1.3419065236946019e+63,,,,
2031-06-30,,3.9334797254849686e+63,,,,
2031-09-30,,1.153006001357108e+64,,,,
2031-12-31,,3.379762784976856e+64,,,,
2032-03-31,,9.90697053551298e+64,,,,
2032-06-30,,2.903992718891201e+65,,,,
2032-09-30,,8.512363775730604e+65,,,,
2032-12-31,,2.4951969259081776e+66,,,,
2033-03-31,,7.314076163911653e+66,,,,
2033-06-30,,2.143947420584039e+67,,,,
2033-09-30,,6.28447180370991e+67,,,,
2033-12-31,,1.8421433973817358e+68,,,,
2034-03-31,,5.399805110930474e+68,,,,
2034-06-30,,1.5828244032181966e+69,,,,
2034-09-30,,4.639673173299639e+69,,,,
2034-12-31,,1.3600098097596012e+70,,,,
2035-03-31,,3.9865452016891326e+70,,,,
2035-06-30,,1.1685608832424419e+71,,,,
2035-09-30,,3.425358220611087e+71,,,,
2035-12-31,,1.0040622707609227e+72,,,,
2036-03-31,,2.9431696734647714e+72,,,,
2036-06-30,,8.627201697597994e+72,,,,
2036-09-30,,2.5288589306310205e+73,,,,
2036-12-31,,7.412748322335867e+73,,,,
2037-03-31,,2.1728708163480661e+74,,,,
2037-06-30,,6.369253857318789e+74,,,,
2037-09-30,,1.8669952393742256e+75,,,,
2037-12-31,,5.472652373308537e+75,,,,
2038-03-31,,1.604177845098207e+76,,,,
2038-06-30,,4.7022657080412446e+76,,,,
2038-09-30,,1.3783573221999577e+77,,,,
2038-12-31,,4.040326569409535e+77,,,,
2039-03-31,,1.184325611694213e+78,,,,
2039-06-30,,3.4715687715308995e+78,,,,
2039-09-30,,1.0176077943825024e+79,,,,
2039-12-31,,2.982875153388862e+79,,,,
2040-03-31,,8.743588865790645e+79,,,,
2040-06-30,,2.562975060056485e+80,,,,
2040-09-30,,7.512751639286451e+80,,,,
2040-12-31,,2.2021844095649275e+81,,,,
2041-03-31,,6.455179681930012e+81,,,,
2041-06-30,,1.89218235062496e+82,,,,
2041-09-30,,5.5464823977542976e+82,,,,
2041-12-31,,1.625819360297782e+83,,,,
2042-03-31,,4.7657026611845454e+83,,,,
2042-06-30,,1.3969523558054802e+84,,,,
2042-09-30,,4.094833486538646e+84,,,,
2042-12-31,,1.2003030176938309e+85,,,,
2043-03-31,,3.518402736084784e+85,,,,
2043-06-30,,1.0313360568794744e+86,,,,
2043-09-30,,3.0231162888513376e+86,,,,
2043-12-31,,8.861546180757963e+86,,,,
2044-03-31,,2.597551440654079e+87,,,,
2044-06-30,,7.614104073051233e+87,,,,
2044-09-30,,2.2318934642794615e+88,,,,
2044-12-31,,6.54226470783867e+88,,,,
2045-03-31,,1.9177092541578473e+89,,,,
2045-06-30,,5.621308442436286e+89,,,,
2045-09-30,,1.6477528351336057e+90,,,,
2045-12-31,,4.829995424542318e+90,,,,
2046-03-31,,1.4157982498150656e+91,,,,
2046-06-30,,4.150075741260863e+91,,,,
2046-09-30,,1.2164959704146842e+92,,,,
2046-12-31,,3.565868524571933e+92,,,,
2047-03-31,,1.0452495235309598e+93,,,,
2047-06-30,,3.063900306231437e+93,,,,
2047-09-30,,8.981094824911482e+93,,,,
2047-12-31,,2.6325942815437995e+94,,,,
2048-03-31,,7.716823824188298e+94,,,,
2048-06-30,,2.2620033155522656e+95,,,,
2048-09-30,,6.63052457350566e+95,,,,
2048-12-31,,1.9435805340156493e+96,,,,
2049-03-31,,5.697143944385281e+96,,,,
2049-06-30,,1.6699822083515749e+97,,,,
2049-09-30,,4.895155543611102e+97,,,,
2049-12-31,,1.4348983885163502e+98,,,,
2050-03-31,,4.2060632538102486e+98,,,,
2050-06-30,,1.23290737773738e+99,,,,
2050-09-30,,3.6139746607525415e+99,,,,
2050-12-31,,1.0593506928744745e+100,,,,
2051-03-31,,3.1052345293974673e+100,,,,
2051-06-30,,9.102256266428738e+100,,,,
2051-09-30,,2.668109875611149e+101,,,,
2051-12-31,,7.82092933879437e+101,,,,
2052-03-31,,2.2925193704177506e+102,,,,
2052-06-30,,6.719975128365986e+102,,,,
2052-09-30,,1.969800836083168e+103,,,,
2052-12-31,,5.774002521907295e+103,,,,
2053-03-31,,1.6925114718341082e+104,,,,
2053-06-30,,4.9611947196445156e+104,,,,
2053-09-30,,1.45425620185345e+105,,,,
2053-12-31,,4.262806078251971e+105,,,,
2054-03-31,,1.2495401867719281e+106,,,,
2054-06-30,,3.662729783378466e+106,,,,
2054-09-30,,1.0736420971546023e+107,,,,
2054-12-31,,3.147126381021989e+107,,,,
