experiment_id	trial_id	accepted_commit	model_class	champion_eligible	gof_composite	gof_insample	gof_val_near	gof_val_far	gof_diag	rmse	mae	theil_u	n_params	status	description	artifact_dir	error_summary
20260329_random_forest_300	20260329_random_forest_300_001		Random Forest	True	-0.09808400764044169	-0.5625457143268531	0.23474864358281777	-0.034851647757911275	0.5	27.88369598249156	23.557853236906272	0.7652513564171822	6	ok	Random Forest n_estimators=200 max_depth=3 min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_001	
20260329_random_forest_300	20260329_random_forest_300_002		Random Forest	True	-0.14056451110172152	-0.6199577718396858	0.2273746258843813	-0.036639031724759574	0.3333333333333333	28.152385303913192	23.54615477302083	0.7726253741156187	6	ok	Random Forest n_estimators=200 max_depth=3 min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_002	
20260329_random_forest_300	20260329_random_forest_300_003		Random Forest	True	0.2976375141302279	0.48848710587759514	0.21492448213353244	-0.042094868672532204	0.3333333333333333	28.606034971275207	23.998814223708123	0.7850755178664676	6	ok	Random Forest n_estimators=200 max_depth=5 min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_003	
20260329_random_forest_300	20260329_random_forest_300_004		Random Forest	True	0.11520832906853243	0.00957420849523849	0.23718434985577863	-0.033128067416125395	0.3333333333333333	27.79494541361199	23.217620203522095	0.7628156501442214	6	ok	Random Forest n_estimators=200 max_depth=5 min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_004	
20260329_random_forest_300	20260329_random_forest_300_005		Random Forest	True	0.3536960337147868	0.673570006754041	0.21208863895339658	-0.04419772858123361	0.16666666666666666	28.70936545011179	24.15197958333352	0.7879113610466034	6	ok	Random Forest n_estimators=200 max_depth=None min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_005	
20260329_random_forest_300	20260329_random_forest_300_006		Random Forest	True	0.11563134498283215	0.010631748280987785	0.23718434985577863	-0.033128067416125395	0.3333333333333333	27.79494541361199	23.217620203522095	0.7628156501442214	6	ok	Random Forest n_estimators=200 max_depth=None min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_006	
20260329_random_forest_300	20260329_random_forest_300_007		Random Forest	True	-0.09303071361464664	-0.5473514025058972	0.231860388179434	-0.0349419231672643	0.5	27.9889362214175	23.627983607881045	0.768139611820566	6	ok	Random Forest n_estimators=500 max_depth=3 min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_007	
20260329_random_forest_300	20260329_random_forest_300_008		Random Forest	True	-0.14325247122707002	-0.6233915082153523	0.22416505083155802	-0.037913127102051414	0.3333333333333333	28.269333564449337	23.61101990494375	0.775834949168442	6	ok	Random Forest n_estimators=500 max_depth=3 min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_008	
20260329_random_forest_300	20260329_random_forest_300_009		Random Forest	True	0.3196125318447477	0.4948259648775123	0.22094187742204918	-0.03765007469316295	0.5	28.386777312436106	23.848599080890388	0.7790581225779508	6	ok	Random Forest n_estimators=500 max_depth=5 min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_009	
20260329_random_forest_300	20260329_random_forest_300_010		Random Forest	True	0.11350875738961516	0.00633938189886496	0.23610937569494939	-0.03332406797664289	0.3333333333333333	27.834114573441948	23.210157779492235	0.7638906243050506	6	ok	Random Forest n_estimators=500 max_depth=5 min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_010	
20260329_random_forest_300	20260329_random_forest_300_011		Random Forest	True	0.33335300782956945	0.6663899906450744	0.2096129603227529	-0.04378349694282546	0.0	28.79957250392273	24.210382000000216	0.7903870396772471	6	ok	Random Forest n_estimators=500 max_depth=None min_samples_leaf=1 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_011	
20260329_random_forest_300	20260329_random_forest_300_012		Random Forest	True	0.1158574474872511	0.012211107142954813	0.23610937569494939	-0.03332406797664289	0.3333333333333333	27.834114573441948	23.21015777949224	0.7638906243050506	6	ok	Random Forest n_estimators=500 max_depth=None min_samples_leaf=4 lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_012	
20260329_random_forest_300	20260329_random_forest_300_013		Random Forest	True	-0.04147254355233572	-0.4159506582030741	0.22976123011508431	-0.03672473874257043	0.5	28.065423881053363	23.666325969426158	0.7702387698849157	6	ok	Random Forest n_estimators=200 max_depth=3 min_samples_leaf=1 lags=[1, 4, 8] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_013	
20260329_random_forest_300	20260329_random_forest_300_014		Random Forest	True	-0.09326864213424452	-0.4635882759172034	0.23097508196605365	-0.0356085141476572	0.16666666666666666	28.021194392668423	23.49901669841699	0.7690249180339463	6	ok	Random Forest n_estimators=200 max_depth=3 min_samples_leaf=4 lags=[1, 4, 8] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260329_random_forest_300/runs/20260329_random_forest_300_014	
