experiment_id	trial_id	accepted_commit	model_class	champion_eligible	gof_composite	gof_insample	gof_val_near	gof_val_far	gof_diag	rmse	mae	theil_u	n_params	status	description	artifact_dir	error_summary
20260330_ardl_full20_300	20260330_ardl_full20_300_001		ARDL	True	-136474069044.60504	0.07995078326628346	-13155.61693680615	-909827096267.9185	0.16666666666666666	479391.6453040671	235354.9244352699	13156.61693680615	2	ok	ARDL(ar_lags=1, distributed_lags=1) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_001	
20260330_ardl_full20_300	20260330_ardl_full20_300_002		ARDL	True	-197341121026.10187	0.07995136493306954	-14099.954661163913	-1315607440607.776	0.16666666666666666	513800.76564077765	251993.33501357408	14100.954661163913	3	ok	ARDL(ar_lags=1, distributed_lags=1) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_002	
20260330_ardl_full20_300	20260330_ardl_full20_300_003		ARDL	True	-136474069044.60504	0.07995078326628346	-13155.61693680615	-909827096267.9185	0.16666666666666666	479391.6453040671	235354.9244352699	13156.61693680615	2	ok	ARDL(ar_lags=1, distributed_lags=2) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_003	
20260330_ardl_full20_300	20260330_ardl_full20_300_004		ARDL	True	-197341121026.10187	0.07995136493306954	-14099.954661163913	-1315607440607.776	0.16666666666666666	513800.76564077765	251993.33501357408	14100.954661163913	3	ok	ARDL(ar_lags=1, distributed_lags=2) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_004	
20260330_ardl_full20_300	20260330_ardl_full20_300_005		ARDL	True	-136474069044.60504	0.07995078326628346	-13155.61693680615	-909827096267.9185	0.16666666666666666	479391.6453040671	235354.9244352699	13156.61693680615	2	ok	ARDL(ar_lags=1, distributed_lags=4) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_005	
20260330_ardl_full20_300	20260330_ardl_full20_300_006		ARDL	True	-197341121026.10187	0.07995136493306954	-14099.954661163913	-1315607440607.776	0.16666666666666666	513800.76564077765	251993.33501357408	14100.954661163913	3	ok	ARDL(ar_lags=1, distributed_lags=4) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_006	
20260330_ardl_full20_300	20260330_ardl_full20_300_007		ARDL	True	-6.133469333708713e+16	0.27956126006205406	-545871.5553286992	-4.0889795557930714e+17	0.5	19890124.01001671	7678227.092738187	545872.5553286992	3	ok	ARDL(ar_lags=2, distributed_lags=1) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_007	
20260330_ardl_full20_300	20260330_ardl_full20_300_008		ARDL	True	-5.125200777569961e+16	0.2832127175877265	-525381.9132641464	-3.416800518367715e+17	0.5	19143536.702033427	7424295.767927581	525382.9132641464	4	ok	ARDL(ar_lags=2, distributed_lags=1) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_008	
20260330_ardl_full20_300	20260330_ardl_full20_300_009		ARDL	True	-6.133469333708713e+16	0.27956126006205406	-545871.5553286992	-4.0889795557930714e+17	0.5	19890124.01001671	7678227.092738187	545872.5553286992	3	ok	ARDL(ar_lags=2, distributed_lags=2) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_009	
20260330_ardl_full20_300	20260330_ardl_full20_300_010		ARDL	True	-5.125200777569961e+16	0.2832127175877265	-525381.9132641464	-3.416800518367715e+17	0.5	19143536.702033427	7424295.767927581	525382.9132641464	4	ok	ARDL(ar_lags=2, distributed_lags=2) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_010	
20260330_ardl_full20_300	20260330_ardl_full20_300_011		ARDL	True	-6.133469333708713e+16	0.27956126006205406	-545871.5553286992	-4.0889795557930714e+17	0.5	19890124.01001671	7678227.092738187	545872.5553286992	3	ok	ARDL(ar_lags=2, distributed_lags=4) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_011	
20260330_ardl_full20_300	20260330_ardl_full20_300_012		ARDL	True	-5.125200777569961e+16	0.2832127175877265	-525381.9132641464	-3.416800518367715e+17	0.5	19143536.702033427	7424295.767927581	525382.9132641464	4	ok	ARDL(ar_lags=2, distributed_lags=4) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_012	
20260330_ardl_full20_300	20260330_ardl_full20_300_013		ARDL	True	-3.3637516168030916e+16	0.4292503076066919	-467355.36274918425	-2.2425010778578227e+17	0.6666666666666666	17029205.665696353	6732090.371565084	467356.36274918425	5	ok	ARDL(ar_lags=4, distributed_lags=1) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_013	
20260330_ardl_full20_300	20260330_ardl_full20_300_014		ARDL	True	-2.9785283959313748e+16	0.44052192327272954	-426653.1943677457	-1.985685597277628e+17	0.6666666666666666	15546128.40035205	5900039.595471964	426654.1943677457	6	ok	ARDL(ar_lags=4, distributed_lags=1) trend=ct with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_014	
20260330_ardl_full20_300	20260330_ardl_full20_300_015		ARDL	True	-3.3637516168030916e+16	0.4292503076066919	-467355.36274918425	-2.2425010778578227e+17	0.6666666666666666	17029205.665696353	6732090.371565084	467356.36274918425	5	ok	ARDL(ar_lags=4, distributed_lags=2) trend=c with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_ardl_full20_300/runs/20260330_ardl_full20_300_015	
