experiment_id	trial_id	accepted_commit	model_class	champion_eligible	gof_composite	gof_insample	gof_val_near	gof_val_far	gof_diag	rmse	mae	theil_u	n_params	status	description	artifact_dir	error_summary
20260330_svr_full20_300	20260330_svr_full20_300_001		Support Vector Regression	True	-0.5093262648517907	-0.8326229057956052	-0.27622933657386883	-0.7528677871068521	0.3333333333333333	46.50235576395725	35.3428619334436	1.2762293365738688	4	ok	Support Vector Regression kernel=linear C=1.0 epsilon=0.1 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_001	
20260330_svr_full20_300	20260330_svr_full20_300_002		Support Vector Regression	True	-0.4891594342106702	-0.8304655574857671	-0.23694155534548145	-0.7158466678585214	0.3333333333333333	45.0708149526767	34.49785973474272	1.2369415553454814	4	ok	Support Vector Regression kernel=linear C=1.0 epsilon=1.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_002	
20260330_svr_full20_300	20260330_svr_full20_300_003		Support Vector Regression	True	-0.40331645808984906	-0.9478310374107297	-0.01285641206036825	-0.35345088158507765	0.3333333333333333	36.90575656087055	29.012191636930883	1.0128564120603682	4	ok	Support Vector Regression kernel=linear C=1.0 epsilon=5.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_003	
20260330_svr_full20_300	20260330_svr_full20_300_004		Support Vector Regression	True	-0.4817151038433297	-0.2878722595411882	-0.5441404263441225	-1.3963358942649657	0.3333333333333333	56.26431347216318	38.23754955308459	1.5441404263441225	4	ok	Support Vector Regression kernel=linear C=10.0 epsilon=0.1 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_004	
20260330_svr_full20_300	20260330_svr_full20_300_005		Support Vector Regression	True	-0.4871248431338845	-0.2859963230543252	-0.5526594558634219	-1.417525584621934	0.3333333333333333	56.57472393689488	38.13301876995204	1.552659455863422	4	ok	Support Vector Regression kernel=linear C=10.0 epsilon=1.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_005	
20260330_svr_full20_300	20260330_svr_full20_300_006		Support Vector Regression	True	-0.3611583902798692	-0.347096168862121	-0.360794798937109	-0.8625005096024394	0.3333333333333333	49.58369318777482	35.79381557539262	1.360794798937109	4	ok	Support Vector Regression kernel=linear C=10.0 epsilon=5.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_006	
20260330_svr_full20_300	20260330_svr_full20_300_007		Support Vector Regression	True	-0.1859675623174439	0.11705645758535854	-0.21798012403386702	-1.2655362351537813	0.3333333333333333	44.3799115238199	27.124339169689847	1.217980124033867	4	ok	Support Vector Regression kernel=linear C=50.0 epsilon=0.1 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_007	
20260330_svr_full20_300	20260330_svr_full20_300_008		Support Vector Regression	True	-0.2107899997447347	0.12077962330694747	-0.24027277463248042	-1.3889314085298592	0.3333333333333333	45.19219560110126	25.75951632640648	1.2402727746324804	4	ok	Support Vector Regression kernel=linear C=50.0 epsilon=1.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_008	
20260330_svr_full20_300	20260330_svr_full20_300_009		Support Vector Regression	True	-0.18116784413798953	0.06604649339238988	-0.24420012174979377	-0.9252204369945622	0.16666666666666666	45.33529754024658	31.505270803648173	1.2442001217497938	4	ok	Support Vector Regression kernel=linear C=50.0 epsilon=5.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_009	
20260330_svr_full20_300	20260330_svr_full20_300_010		Support Vector Regression	True	-6.453807471131143	-15.458253272439663	-0.7250934821627506	-0.222600733766543	0.16666666666666666	62.85775489926833	52.41451651790411	1.7250934821627506	4	ok	Support Vector Regression kernel=rbf C=1.0 epsilon=0.1 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_010	
20260330_svr_full20_300	20260330_svr_full20_300_011		Support Vector Regression	True	-6.453342363077058	-15.458253272439663	-0.7240453602898183	-0.22194563110948962	0.16666666666666666	62.81956416440406	52.36964582175683	1.7240453602898183	4	ok	Support Vector Regression kernel=rbf C=1.0 epsilon=1.0 gamma=scale lags=[1, 2, 4] with no exogenous variables	/Users/duc/projects/claude/github/fanniemae-cc-poc/auto-research-hpf/experiments/20260330_svr_full20_300/runs/20260330_svr_full20_300_011	
