date,hpi_actual,hpi_forecast,hpi_lower_90,hpi_upper_90,hpi_lower_50,hpi_upper_50
2025-03-31,,699.7172241210938,695.6738579656441,703.7605902765434,698.0591987603842,701.3752494818033
2025-06-30,,706.316162109375,700.5979788546978,712.0343453640522,703.9713601575011,708.6609640612489
2025-09-30,,717.378662109375,710.3753464945318,724.3819777242182,714.5068779443884,720.2504462743616
2025-12-31,,723.25244140625,715.1657090953506,731.3391737171494,719.936390684831,726.568492127669
2026-03-31,,732.86376953125,723.8225279497426,741.9050111127574,729.156312116285,736.571226946215
2026-06-30,,741.9730834960938,732.0688995720031,751.8772674201844,737.9117673817615,746.034399610426
2026-09-30,,752.4291381835938,741.7313968766986,763.1268794904889,748.0424154117183,756.8158609554692
2026-12-31,,763.1130981445312,751.6767316351767,774.5494646538858,758.4234942407834,767.8027020482791
2027-03-31,,775.151123046875,763.021024580526,787.281221513224,770.1770469647465,780.1251991290035
2027-06-30,,788.4874267578125,775.7011802925531,801.2736732230719,783.2442901996483,793.7305633159767
2027-09-30,,804.5923461914062,791.1820177637579,818.0026746190546,799.0932981770392,810.0913942057733
2027-12-31,,822.331787109375,808.3251558796885,836.3384183390615,816.5882187794019,828.0753554393481
2028-03-31,,844.34716796875,829.7686039698006,858.9257319676994,838.3690725146922,850.3252634228078
2028-06-30,,869.5120849609375,854.3831941179675,884.6409758039075,863.3083221225803,875.7158477992947
2028-09-30,,898.82177734375,883.1618875610748,914.4816671264252,892.4002727341326,905.2432819533674
2028-12-31,,932.4498291015625,916.2763644797639,948.6232937233611,925.8177276587245,939.0819305444005
2029-03-31,,970.4415283203125,953.770302578346,987.112754062279,963.6053146281545,977.2777420124705
2029-06-30,,1011.4937744140625,994.3392246500307,1028.6483241780943,1004.4593685584408,1018.5281802696842
2029-09-30,,1055.98974609375,1038.3651216304124,1073.6143705570876,1048.7625811005898,1063.2169110869102
2029-12-31,,1104.4803466796875,1086.3978635166727,1122.5628298427023,1097.0654318497575,1111.8952615096175
2030-03-31,,1157.439453125,1138.9104216552294,1175.9684845947706,1149.8414264053922,1165.0374798446078
2030-06-30,,1216.128173828125,1197.1631054898671,1235.0932421663829,1208.3513455460663,1223.9050021101837
2030-09-30,,1278.615478515625,1259.2241756470237,1298.0067813842263,1270.6638682242824,1286.5670888069676
2030-12-31,,1346.61279296875,1326.8044251205688,1366.4211608169312,1338.4901607400855,1354.7354251974145
2031-03-31,,1418.18115234375,1397.9643215665017,1438.3979831209983,1409.8910255402025,1426.4712791472975
2031-06-30,,1494.9903564453125,1474.373153518074,1515.607559372551,1486.536052777023,1503.444660113602
2031-09-30,,1577.0438232421875,1556.0338763976577,1598.0537700867173,1568.4284707472277,1585.6591757371473
2031-12-31,,1664.751220703125,1643.3557380893346,1686.1467033169154,1655.977775159374,1673.524666246876
2032-03-31,,1758.30810546875,1736.5339123460637,1780.0822985914363,1749.3793656469206,1767.2368452905794
2032-06-30,,1858.202392578125,1836.0559640621977,1880.3488210940523,1849.1210136683626,1867.2837714878874
2032-09-30,,1964.78076171875,1942.2682517325643,1987.2932717049357,1955.5492672027233,1974.0122562347767
2032-12-31,,2078.54541015625,2055.672677137541,2101.418143174959,2069.1662023487543,2087.9246179637457
2033-03-31,,2199.93408203125,2176.706711848378,2223.161452214122,2190.4094514771054,2209.4587125853946
2033-06-30,,2329.4775390625,2305.9008655168273,2353.0542126081727,2319.8096729437693,2339.1454051812307
2033-09-30,,2467.716552734375,2443.79567596645,2491.6374295023,2457.907542418015,2477.525563050735
2033-12-31,,2615.232421875,2590.972224942302,2639.492618807698,2605.284269710743,2625.180574039257
2034-03-31,,2772.648193359375,2748.0533572127297,2797.2430295060203,2762.562818820967,2782.733567897783
2034-06-30,,2940.620361328125,2915.69537838034,2965.54534427591,2930.39960657729,2950.84111607896
2034-09-30,,3119.7587890625,3094.507975514925,3145.009602610075,3109.4044240035755,3130.1131541214245
2034-12-31,,3310.888916015625,3285.316423085106,3336.461408946144,3300.4026428992966,3321.3751891319534
2035-03-31,,3514.81689453125,3488.926718700475,3540.707070362025,3504.2003521578126,3525.4334369046874
2035-06-30,,3732.5810546875,3706.3770470853124,3758.7850622896876,3721.8358222533575,3743.3262871216425
2035-09-30,,3964.8544921875,3938.3403671918954,3991.3686171831046,3953.982092812914,3975.726891562086
2035-12-31,,4212.6728515625,4185.852194707203,4239.493508417797,4201.674755533766,4223.670947591234
2036-03-31,,4477.10986328125,4449.986138536728,4504.233588025772,4465.987491036355,4488.232235526145
2036-06-30,,4759.2822265625,4731.85878305364,4786.70567007136,4748.036951445778,4770.527501679222
2036-09-30,,5060.35009765625,5032.630175871535,5088.070019440965,5048.98324846452,5071.71694684798
2036-12-31,,5381.59130859375,5353.578046134377,5409.604571053123,5370.104171933804,5393.078445253696
2037-03-31,,5724.35986328125,5696.056300193102,5752.663426369398,5712.753685756284,5735.966040806216
2037-06-30,,6090.0986328125,6061.507716539114,6118.689549085886,6078.374623053131,6101.822642571869
2037-09-30,,6480.3427734375,6451.467363427963,6509.218183447037,6468.5021039912845,6492.1834428837155
2037-12-31,,6896.7373046875,6867.580176689601,6925.894432685399,6884.781113779384,6908.693495595616
2038-03-31,,7341.03369140625,7311.597541471979,7370.469841340521,7328.963084581071,7353.104298231429
2038-06-30,,7815.10107421875,7785.388522446478,7844.813625991022,7802.917125875753,7827.285022561747
2038-09-30,,8320.935546875,8290.949140910181,8350.921952839819,8308.63930170334,8333.23179204666
2038-12-31,,8860.6640625,8830.40628081406,8890.92184418594,8848.256536823286,8873.071588176714
2039-03-31,,9436.55859375,9406.031848715178,9467.085338784822,9424.040776787164,9449.076410712836
2039-06-30,,10051.0439453125,10020.250586088667,10081.837304536333,10038.416800361569,10063.671090263431
